+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9980.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   96004.000 |   96011.000 |  192015.000 |   96007.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9982.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  150039.000 |  150053.000 |  300092.000 |  150046.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9983.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   98167.000 |   98174.000 |  196341.000 |   98170.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9986.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   86716.000 |   86731.000 |  173447.000 |   86723.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9987.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  367791.000 |  367792.000 |  735583.000 |  367791.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9989.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  107591.000 |  107591.000 |  215182.000 |  107591.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9991.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  153629.000 |  153644.000 |  307273.000 |  153636.500 |
|     5 |   0 |   5 |   0 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |    1549.000 |    1549.000 |    7745.000 |    1549.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /image/9993.jpg    |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   85631.000 |   85638.000 |  171269.000 |   85634.500 |
