+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   520 |   0 |  520 |   0 |   0 |   0 | GET    | /                  | 0.084 | 0.900 | 272.887 | 0.525 | 0.681 | 0.732 | 0.856 |  0.130 |    2772.000 |    6052.000 |   1864104.000 |    3584.815 |
|   114 |   0 |  114 |   0 |   0 |   0 | GET    | /posts             | 0.076 | 1.120 |  84.950 | 0.745 | 0.920 | 0.976 | 1.104 |  0.176 |    4965.000 |    5785.000 |    607275.000 |    5326.974 |
|   382 |   0 |    0 | 382 |   0 |   0 | POST   | /login             | 0.004 | 0.204 |  26.273 | 0.069 | 0.124 | 0.136 | 0.164 |  0.042 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1112 |   0 | 1112 |   0 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.128 |   5.932 | 0.005 | 0.016 | 0.028 | 0.048 |  0.011 |      43.000 |      43.000 |     47816.000 |      43.000 |
|  1112 |   0 | 1112 |   0 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.148 |   5.521 | 0.005 | 0.016 | 0.024 | 0.052 |  0.011 |    1915.000 |    1915.000 |   2129480.000 |    1915.000 |
|    90 |   0 |    0 |  45 |  45 |   0 | POST   | /                  | 0.004 | 0.320 |   5.020 | 0.056 | 0.160 | 0.216 | 0.320 |  0.069 |       0.000 |       0.000 |         0.000 |       0.000 |
|    50 |   0 |    0 |  50 |   0 |   0 | POST   | /register          | 0.012 | 0.200 |   4.964 | 0.099 | 0.144 | 0.196 | 0.200 |  0.042 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1112 |   0 | 1112 |   0 |   0 |   0 | GET    | /js/main.js        | 0.000 | 0.096 |   4.340 | 0.004 | 0.012 | 0.020 | 0.040 |  0.008 |    1824.000 |    1824.000 |   2028288.000 |    1824.000 |
|  1112 |   0 | 1112 |   0 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.080 |   4.088 | 0.004 | 0.012 | 0.016 | 0.036 |  0.007 |    1549.000 |    1549.000 |   1722488.000 |    1549.000 |
|   119 |   0 |  119 |   0 |   0 |   0 | GET    | /image/10426.png   | 0.004 | 0.080 |   2.460 | 0.021 | 0.048 | 0.056 | 0.068 |  0.017 |  754982.000 |  755268.000 |  89874903.000 |  755251.286 |
|   120 |   0 |  120 |   0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.096 |   2.364 | 0.020 | 0.040 | 0.056 | 0.068 |  0.016 | 1057211.000 | 1057905.000 | 126941450.000 | 1057845.417 |
|   118 |   0 |  118 |   0 |   0 |   0 | GET    | /image/10425.png   | 0.004 | 0.080 |   2.284 | 0.019 | 0.044 | 0.056 | 0.076 |  0.016 |  965031.000 |  965614.000 | 113933699.000 |  965539.822 |
|   130 |   0 |  130 |   0 |   0 |   0 | GET    | /image/10435.png   | 0.004 | 0.212 |   2.232 | 0.017 | 0.032 | 0.044 | 0.052 |  0.020 |  995423.000 |  996149.000 | 129483407.000 |  996026.208 |
|   129 |   0 |  129 |   0 |   0 |   0 | GET    | /image/10416.png   | 0.004 | 0.072 |   2.180 | 0.017 | 0.036 | 0.048 | 0.060 |  0.014 |  932481.000 |  933135.000 | 120365679.000 |  933067.279 |
|   120 |   0 |  120 |   0 |   0 |   0 | GET    | /image/10427.png   | 0.012 | 0.084 |   2.164 | 0.018 | 0.040 | 0.048 | 0.080 |  0.017 |  906920.000 |  907487.000 | 108892510.000 |  907437.583 |
|   130 |   0 |  130 |   0 |   0 |   0 | GET    | /image/10438.png   | 0.004 | 0.104 |   2.164 | 0.017 | 0.032 | 0.052 | 0.064 |  0.015 |  861112.000 |  861687.000 | 112010932.000 |  861622.554 |
|   121 |   0 |  121 |   0 |   0 |   0 | GET    | /image/10422.png   | 0.004 | 0.136 |   2.152 | 0.018 | 0.032 | 0.044 | 0.108 |  0.019 | 1014420.000 | 1015075.000 | 122811431.000 | 1014970.504 |
|   119 |   0 |  119 |   0 |   0 |   0 | GET    | /image/10424.png   | 0.004 | 0.088 |   2.004 | 0.017 | 0.040 | 0.048 | 0.048 |  0.015 |  772018.000 |  772194.000 |  91889318.000 |  772179.143 |
|   131 |   0 |  131 |   0 |   0 |   0 | GET    | /image/10429.png   | 0.004 | 0.088 |   2.004 | 0.015 | 0.032 | 0.040 | 0.076 |  0.015 |  807844.000 |  808355.000 | 105884086.000 |  808275.466 |
|   123 |   0 |  123 |   0 |   0 |   0 | GET    | /image/10433.png   | 0.004 | 0.092 |   1.996 | 0.016 | 0.032 | 0.040 | 0.064 |  0.013 |  892488.000 |  892992.000 | 109833598.000 |  892956.081 |
|   121 |   0 |  121 |   0 |   0 |   0 | GET    | /image/10417.png   | 0.004 | 0.100 |   1.936 | 0.016 | 0.032 | 0.048 | 0.068 |  0.015 |  908378.000 |  908968.000 | 109975891.000 |  908891.661 |
|   121 |   0 |  121 |   0 |   0 |   0 | GET    | /image/10441.png   | 0.004 | 0.116 |   1.768 | 0.015 | 0.028 | 0.040 | 0.104 |  0.017 |  771716.000 |  772194.000 |  93428784.000 |  772138.711 |
|   122 |   0 |  122 |   0 |   0 |   0 | GET    | /image/10428.jpg   | 0.004 | 0.112 |   1.684 | 0.014 | 0.032 | 0.044 | 0.100 |  0.017 |  106282.000 |  106322.000 |  12967977.000 |  106294.893 |
|   122 |   0 |  122 |   0 |   0 |   0 | GET    | /image/10420.jpg   | 0.000 | 0.092 |   1.680 | 0.014 | 0.032 | 0.048 | 0.076 |  0.016 |  104313.000 |  104353.000 |  12728290.000 |  104330.246 |
|   115 |   0 |  115 |   0 |   0 |   0 | GET    | /image/10423.jpg   | 0.004 | 0.088 |   1.668 | 0.015 | 0.036 | 0.044 | 0.076 |  0.016 |  107134.000 |  107142.000 |  12320671.000 |  107136.270 |
|     2 |   0 |    2 |   0 |   0 |   0 | GET    | /@letitia          | 0.736 | 0.924 |   1.660 | 0.830 | 0.924 | 0.924 | 0.924 |  0.094 |    4504.000 |    4504.000 |      9008.000 |    4504.000 |
|   124 |   0 |  124 |   0 |   0 |   0 | GET    | /image/10440.png   | 0.004 | 0.092 |   1.652 | 0.013 | 0.024 | 0.032 | 0.052 |  0.012 |  713929.000 |  714351.000 |  88577130.000 |  714331.694 |
|   122 |   0 |  122 |   0 |   0 |   0 | GET    | /image/10421.jpg   | 0.016 | 0.136 |   1.616 | 0.013 | 0.028 | 0.044 | 0.080 |  0.017 |  116283.000 |  116299.000 |  14187228.000 |  116288.754 |
|   127 |   0 |  127 |   0 |   0 |   0 | GET    | /image/10432.jpg   | 0.004 | 0.096 |   1.584 | 0.012 | 0.032 | 0.048 | 0.072 |  0.016 |   74757.000 |   74758.000 |   9494188.000 |   74757.386 |
|   117 |   0 |  117 |   0 |   0 |   0 | GET    | /image/9999.jpg    | 0.004 | 0.124 |   1.560 | 0.013 | 0.032 | 0.044 | 0.112 |  0.019 |   90012.000 |   90036.000 |  10532362.000 |   90020.188 |
|   126 |   0 |  126 |   0 |   0 |   0 | GET    | /image/10431.jpg   | 0.004 | 0.136 |   1.544 | 0.012 | 0.032 | 0.044 | 0.128 |  0.020 |   84323.000 |   84345.000 |  10626170.000 |   84334.683 |
|    50 |   0 |    0 |  50 |   0 |   0 | POST   | /comment           | 0.004 | 0.100 |   1.540 | 0.031 | 0.072 | 0.076 | 0.100 |  0.024 |       0.000 |       0.000 |         0.000 |       0.000 |
|   124 |   0 |  124 |   0 |   0 |   0 | GET    | /image/10434.jpg   | 0.008 | 0.064 |   1.512 | 0.012 | 0.028 | 0.040 | 0.056 |  0.013 |  113170.000 |  113185.000 |  14033724.000 |  113175.194 |
|   130 |   0 |  130 |   0 |   0 |   0 | GET    | /image/10436.jpg   | 0.004 | 0.072 |   1.464 | 0.011 | 0.024 | 0.036 | 0.072 |  0.013 |  107165.000 |  107204.000 |  13935734.000 |  107197.954 |
|   136 |   0 |  136 |   0 |   0 |   0 | GET    | /image/10439.jpg   | 0.004 | 0.068 |   1.456 | 0.011 | 0.024 | 0.036 | 0.056 |  0.012 |  114231.000 |  114246.000 |  15536083.000 |  114235.904 |
|   120 |   0 |  120 |   0 |   0 |   0 | GET    | /image/10419.jpg   | 0.004 | 0.068 |   1.320 | 0.011 | 0.028 | 0.036 | 0.060 |  0.013 |   97393.000 |   97425.000 |  11688444.000 |   97403.700 |
|     2 |   0 |    2 |   0 |   0 |   0 | GET    | /@lucy             | 0.552 | 0.752 |   1.304 | 0.652 | 0.752 | 0.752 | 0.752 |  0.100 |    3510.000 |    3583.000 |      7093.000 |    3546.500 |
|   103 |   0 |  103 |   0 |   0 |   0 | GET    | /image/10444.png   | 0.004 | 0.044 |   1.300 | 0.013 | 0.024 | 0.032 | 0.040 |  0.009 |  901843.000 |  902457.000 |  92934029.000 |  902272.126 |
|   124 |   0 |  124 |   0 |   0 |   0 | GET    | /image/10437.jpg   | 0.008 | 0.092 |   1.300 | 0.010 | 0.024 | 0.036 | 0.060 |  0.013 |  124040.000 |  124064.000 |  15381934.000 |  124047.855 |
|   120 |   0 |  120 |   0 |   0 |   0 | GET    | /image/10418.jpg   | 0.004 | 0.084 |   1.220 | 0.010 | 0.024 | 0.032 | 0.068 |  0.013 |  117962.000 |  117978.000 |  14156085.000 |  117967.375 |
|   128 |   0 |  128 |   0 |   0 |   0 | GET    | /login             | 0.004 | 0.096 |   1.200 | 0.009 | 0.024 | 0.036 | 0.088 |  0.016 |     615.000 |     615.000 |     78720.000 |     615.000 |
|   112 |   0 |  112 |   0 |   0 |   0 | GET    | /image/10443.jpg   | 0.000 | 0.084 |   1.160 | 0.010 | 0.024 | 0.040 | 0.060 |  0.013 |   74430.000 |   74462.000 |   8339645.000 |   74461.116 |
|   115 |   0 |  115 |   0 |   0 |   0 | GET    | /image/9998.jpg    | 0.008 | 0.092 |   1.156 | 0.010 | 0.024 | 0.032 | 0.056 |  0.013 |   61708.000 |   61739.000 |   7098909.000 |   61729.643 |
|     2 |   0 |    2 |   0 |   0 |   0 | GET    | /@isabel           | 0.468 | 0.676 |   1.144 | 0.572 | 0.676 | 0.676 | 0.676 |  0.104 |    2818.000 |    2818.000 |      5636.000 |    2818.000 |
|   119 |   0 |  119 |   0 |   0 |   0 | GET    | /image/10442.jpg   | 0.004 | 0.072 |   1.104 | 0.009 | 0.024 | 0.036 | 0.068 |  0.012 |  119082.000 |  119105.000 |  14171379.000 |  119087.218 |
|    98 |   0 |   98 |   0 |   0 |   0 | GET    | /image/9996.jpg    | 0.008 | 0.068 |   1.104 | 0.011 | 0.024 | 0.032 | 0.068 |  0.012 |  375194.000 |  375225.000 |  36770884.000 |  375213.102 |
