+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   526 |   0 |  526 |   0 |   0 |   0 | GET    | /                  | 0.080 | 0.936 | 273.903 | 0.521 | 0.696 | 0.744 | 0.844 |  0.134 |    2752.000 |    6036.000 |   1878533.000 |    3571.356 |
|   115 |   0 |  115 |   0 |   0 |   0 | GET    | /posts             | 0.196 | 1.088 |  87.040 | 0.757 | 0.932 | 1.008 | 1.060 |  0.158 |    4965.000 |    5785.000 |    612415.000 |    5325.348 |
|   382 |   0 |    0 | 382 |   0 |   0 | POST   | /login             | 0.008 | 0.248 |  26.716 | 0.070 | 0.128 | 0.148 | 0.208 |  0.045 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1096 |   0 | 1096 |   0 |   0 |   0 | GET    | /favicon.ico       | 0.004 | 0.124 |   5.668 | 0.005 | 0.016 | 0.024 | 0.056 |  0.011 |      43.000 |      43.000 |     47128.000 |      43.000 |
|    51 |   0 |    0 |  51 |   0 |   0 | POST   | /register          | 0.016 | 0.260 |   5.432 | 0.107 | 0.180 | 0.224 | 0.260 |  0.052 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1096 |   0 | 1096 |   0 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.108 |   5.312 | 0.005 | 0.012 | 0.024 | 0.060 |  0.011 |    1915.000 |    1915.000 |   2098840.000 |    1915.000 |
|    90 |   0 |    0 |  45 |  45 |   0 | POST   | /                  | 0.004 | 0.300 |   4.960 | 0.055 | 0.164 | 0.216 | 0.300 |  0.066 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1096 |   0 | 1096 |   0 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.068 |   4.496 | 0.004 | 0.012 | 0.020 | 0.048 |  0.009 |    1549.000 |    1549.000 |   1697704.000 |    1549.000 |
|  1096 |   0 | 1096 |   0 |   0 |   0 | GET    | /js/main.js        | 0.004 | 0.076 |   4.380 | 0.004 | 0.012 | 0.020 | 0.044 |  0.008 |    1824.000 |    1824.000 |   1999104.000 |    1824.000 |
|   122 |   0 |  122 |   0 |   0 |   0 | GET    | /image/10475.png   | 0.004 | 0.112 |   2.788 | 0.023 | 0.056 | 0.060 | 0.104 |  0.021 | 1004158.000 | 1004772.000 | 122573174.000 | 1004698.148 |
|   127 |   0 |  127 |   0 |   0 |   0 | GET    | /image/10474.png   | 0.004 | 0.132 |   2.500 | 0.020 | 0.040 | 0.064 | 0.100 |  0.020 |  875278.000 |  875756.000 | 111217070.000 |  875724.961 |
|   131 |   0 |  131 |   0 |   0 |   0 | GET    | /image/10467.png   | 0.004 | 0.116 |   2.344 | 0.018 | 0.036 | 0.052 | 0.112 |  0.019 |  902750.000 |  903365.000 | 118331253.000 |  903292.008 |
|   120 |   0 |  120 |   0 |   0 |   0 | GET    | /image/10478.png   | 0.004 | 0.112 |   2.328 | 0.019 | 0.040 | 0.048 | 0.096 |  0.017 | 1087376.000 | 1087854.000 | 130532287.000 | 1087769.058 |
|   123 |   0 |  123 |   0 |   0 |   0 | GET    | /image/10473.png   | 0.004 | 0.096 |   2.272 | 0.018 | 0.040 | 0.044 | 0.088 |  0.016 |  877879.000 |  878414.000 | 108040535.000 |  878378.333 |
|   124 |   0 |  124 |   0 |   0 |   0 | GET    | /image/10465.png   | 0.004 | 0.124 |   2.220 | 0.018 | 0.040 | 0.056 | 0.084 |  0.018 |  970920.000 |  971494.000 | 120459235.000 |  971445.444 |
|   123 |   0 |  123 |   0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.100 |   2.076 | 0.017 | 0.036 | 0.044 | 0.072 |  0.015 | 1057235.000 | 1057904.000 | 130107641.000 | 1057785.699 |
