+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   430 |   0 | 430 |   0 |   0 |   0 | GET    | /                  | 0.080 | 1.088 | 230.908 | 0.537 | 0.689 | 0.756 | 0.852 |  0.139 |    2823.000 |    6046.000 |   1622178.000 |    3772.507 |
|    94 |   0 |  94 |   0 |   0 |   0 | GET    | /posts             | 0.484 | 1.132 |  71.940 | 0.765 | 0.968 | 1.016 | 1.132 |  0.143 |    4965.000 |    5785.000 |    501537.000 |    5335.500 |
|   320 |   0 |   0 | 320 |   0 |   0 | POST   | /login             | 0.004 | 0.204 |  23.504 | 0.073 | 0.132 | 0.156 | 0.180 |  0.047 |       0.000 |       0.000 |         0.000 |       0.000 |
|    76 |   0 |   0 |  38 |  38 |   0 | POST   | /                  | 0.000 | 0.340 |   5.121 | 0.067 | 0.176 | 0.280 | 0.340 |  0.082 |       0.000 |       0.000 |         0.000 |       0.000 |
|   918 |   0 | 918 |   0 |   0 |   0 | GET    | /favicon.ico       | 0.024 | 0.104 |   4.572 | 0.005 | 0.012 | 0.024 | 0.048 |  0.011 |      43.000 |      43.000 |     39474.000 |      43.000 |
|    41 |   0 |   0 |  41 |   0 |   0 | POST   | /register          | 0.012 | 0.232 |   4.120 | 0.100 | 0.164 | 0.204 | 0.232 |  0.049 |       0.000 |       0.000 |         0.000 |       0.000 |
|   918 |   0 | 918 |   0 |   0 |   0 | GET    | /js/timeago.min.js | 0.004 | 0.136 |   4.012 | 0.004 | 0.012 | 0.024 | 0.040 |  0.010 |    1915.000 |    1915.000 |   1757970.000 |    1915.000 |
|   918 |   0 | 918 |   0 |   0 |   0 | GET    | /js/main.js        | 0.004 | 0.068 |   3.704 | 0.004 | 0.012 | 0.020 | 0.044 |  0.009 |    1824.000 |    1824.000 |   1674432.000 |    1824.000 |
|   918 |   0 | 918 |   0 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.128 |   3.376 | 0.004 | 0.008 | 0.016 | 0.040 |  0.009 |    1549.000 |    1549.000 |   1421982.000 |    1549.000 |
|   125 |   0 | 125 |   0 |   0 |   0 | GET    | /image/10510.png   | 0.012 | 0.144 |   2.601 | 0.021 | 0.044 | 0.064 | 0.100 |  0.021 |  908450.000 |  908968.000 | 113613381.000 |  908907.048 |
|   134 |   0 | 134 |   0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.096 |   2.568 | 0.019 | 0.044 | 0.056 | 0.088 |  0.018 | 1057235.000 | 1057912.000 | 141744900.000 | 1057797.761 |
|   129 |   0 | 129 |   0 |   0 |   0 | GET    | /image/10512.png   | 0.004 | 0.120 |   2.512 | 0.019 | 0.044 | 0.052 | 0.104 |  0.019 |  762458.000 |  762903.000 |  98409874.000 |  762867.240 |
|   123 |   0 | 123 |   0 |   0 |   0 | GET    | /image/10517.png   | 0.004 | 0.088 |   2.372 | 0.019 | 0.040 | 0.052 | 0.064 |  0.015 | 1014348.000 | 1015082.000 | 124841336.000 | 1014970.211 |
|   123 |   0 | 123 |   0 |   0 |   0 | GET    | /image/10513.png   | 0.004 | 0.084 |   2.368 | 0.019 | 0.044 | 0.060 | 0.076 |  0.018 |  968528.000 |  969214.000 | 119205886.000 |  969153.545 |
|   126 |   0 | 126 |   0 |   0 |   0 | GET    | /image/10515.png   | 0.004 | 0.105 |   2.361 | 0.019 | 0.036 | 0.044 | 0.084 |  0.015 | 1089992.000 | 1090821.000 | 137428732.000 | 1090704.222 |
|   137 |   0 | 137 |   0 |   0 |   0 | GET    | /image/10509.png   | 0.004 | 0.076 |   2.341 | 0.017 | 0.036 | 0.052 | 0.072 |  0.015 |  970322.000 |  971015.000 | 133018803.000 |  970940.168 |
|   110 |   0 | 110 |   0 |   0 |   0 | GET    | /image/10523.png   | 0.004 | 0.136 |   2.200 | 0.020 | 0.036 | 0.056 | 0.132 |  0.021 |  686063.000 |  686445.000 |  75506461.000 |  686422.373 |
|   121 |   0 | 121 |   0 |   0 |   0 | GET    | /image/10520.png   | 0.004 | 0.092 |   2.072 | 0.017 | 0.040 | 0.044 | 0.068 |  0.015 |  881855.000 |  882454.000 | 106768667.000 |  882385.678 |
|   124 |   0 | 124 |   0 |   0 |   0 | GET    | /image/10511.jpg   | 0.004 | 0.080 |   1.828 | 0.015 | 0.044 | 0.048 | 0.080 |  0.018 |  114178.000 |  114193.000 |  14158680.000 |  114182.903 |
|   108 |   0 | 108 |   0 |   0 |   0 | GET    | /image/10524.png   | 0.004 | 0.088 |   1.808 | 0.017 | 0.032 | 0.040 | 0.072 |  0.014 |  858558.000 |  859132.000 |  92780021.000 |  859074.269 |
|   111 |   0 | 111 |   0 |   0 |   0 | GET    | /image/10522.jpg   | 0.004 | 0.136 |   1.696 | 0.015 | 0.032 | 0.056 | 0.096 |  0.020 |   73243.000 |   73282.000 |   8132646.000 |   73267.081 |
|    90 |   0 |  90 |   0 |   0 |   0 | GET    | /image/10527.png   | 0.004 | 0.084 |   1.692 | 0.019 | 0.036 | 0.056 | 0.084 |  0.016 |  942852.000 |  943523.000 |  84907766.000 |  943419.622 |
|   125 |   0 | 125 |   0 |   0 |   0 | GET    | /image/10507.jpg   | 0.004 | 0.136 |   1.668 | 0.013 | 0.032 | 0.048 | 0.116 |  0.020 |   93785.000 |   93816.000 |  11724566.000 |   93796.528 |
|    93 |   0 |  93 |   0 |   0 |   0 | GET    | /image/10526.png   | 0.004 | 0.100 |   1.644 | 0.018 | 0.032 | 0.052 | 0.100 |  0.017 |  842632.000 |  843087.000 |  78404793.000 |  843062.290 |
|   138 |   0 | 138 |   0 |   0 |   0 | GET    | /image/10506.jpg   | 0.004 | 0.092 |   1.632 | 0.012 | 0.036 | 0.048 | 0.072 |  0.015 |   76049.000 |   76081.000 |  10499020.000 |   76079.855 |
|   134 |   0 | 134 |   0 |   0 |   0 | GET    | /image/10508.jpg   | 0.000 | 0.084 |   1.624 | 0.012 | 0.028 | 0.044 | 0.056 |  0.014 |  101614.000 |  101653.000 |  13618287.000 |  101629.007 |
