+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   489 |   0 |  489 |    0 |   0 |   0 | GET    | /                  | 0.080 | 0.888 | 264.857 | 0.542 | 0.708 | 0.741 | 0.824 |  0.131 |    2726.000 |    6038.000 |   1822657.000 |    3727.315 |
|   113 |   0 |  113 |    0 |   0 |   0 | GET    | /posts             | 0.072 | 1.144 |  84.487 | 0.748 | 0.968 | 1.056 | 1.136 |  0.202 |    4965.000 |    5770.000 |    602640.000 |    5333.097 |
|   357 |   0 |    0 |  357 |   0 |   0 | POST   | /login             | 0.040 | 0.220 |  24.740 | 0.069 | 0.124 | 0.148 | 0.188 |  0.043 |       0.000 |       0.000 |         0.000 |       0.000 |
|    82 |   0 |    0 |   41 |  41 |   0 | POST   | /                  | 0.004 | 0.316 |   6.504 | 0.079 | 0.240 | 0.264 | 0.316 |  0.093 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1137 |   0 | 1137 |    0 |   0 |   0 | GET    | /favicon.ico       | 0.004 | 0.112 |   6.100 | 0.005 | 0.016 | 0.024 | 0.052 |  0.010 |      43.000 |      43.000 |     48891.000 |      43.000 |
|    49 |   0 |    0 |   49 |   0 |   0 | POST   | /register          | 0.016 | 0.184 |   4.336 | 0.088 | 0.128 | 0.152 | 0.184 |  0.034 |       0.000 |       0.000 |         0.000 |       0.000 |
|   138 |   0 |  138 |    0 |   0 |   0 | GET    | /image/10000.png   | 0.012 | 0.144 |   2.544 | 0.018 | 0.032 | 0.044 | 0.092 |  0.017 | 1057155.000 | 1057904.000 | 145975460.000 | 1057793.188 |
|   117 |   0 |  117 |    0 |   0 |   0 | GET    | /image/10563.png   | 0.008 | 0.096 |   2.444 | 0.021 | 0.040 | 0.056 | 0.076 |  0.017 | 1010082.000 | 1010824.000 | 118257908.000 | 1010751.350 |
|   123 |   0 |  123 |    0 |   0 |   0 | GET    | /image/10560.png   | 0.004 | 0.092 |   2.332 | 0.019 | 0.040 | 0.044 | 0.080 |  0.016 |  852001.000 |  852567.000 | 104861694.000 |  852534.098 |
|   135 |   0 |  135 |    0 |   0 |   0 | GET    | /image/10554.png   | 0.004 | 0.084 |   2.284 | 0.017 | 0.032 | 0.048 | 0.080 |  0.015 |  910994.000 |  911560.000 | 123055401.000 |  911521.489 |
|   139 |   0 |  139 |    0 |   0 |   0 | GET    | /image/10552.png   | 0.004 | 0.100 |   2.256 | 0.016 | 0.036 | 0.044 | 0.080 |  0.015 |  910994.000 |  911568.000 | 126700550.000 |  911514.748 |
|   119 |   0 |  119 |    0 |   0 |   0 | GET    | /image/10566.png   | 0.004 | 0.100 |   2.252 | 0.019 | 0.040 | 0.044 | 0.084 |  0.016 |  895484.000 |  896083.000 | 106626133.000 |  896017.924 |
|   123 |   0 |  123 |    0 |   0 |   0 | GET    | /image/10558.png   | 0.004 | 0.152 |   2.252 | 0.018 | 0.036 | 0.052 | 0.076 |  0.019 |  937639.000 |  938229.000 | 115396038.000 |  938179.171 |
