+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   509 |   0 |  509 |    0 |   0 |   0 | GET    | /                  | 0.080 | 0.884 | 269.345 | 0.529 | 0.704 | 0.740 | 0.824 |  0.138 |    2667.000 |    6040.000 |   1840239.000 |    3615.401 |
|   116 |   0 |  116 |    0 |   0 |   0 | GET    | /posts             | 0.088 | 1.100 |  86.023 | 0.742 | 0.912 | 1.016 | 1.097 |  0.175 |    4965.000 |    5785.000 |    618321.000 |    5330.353 |
|   370 |   0 |    0 |  370 |   0 |   0 | POST   | /login             | 0.084 | 0.204 |  26.652 | 0.072 | 0.136 | 0.152 | 0.192 |  0.047 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1188 |   0 | 1188 |    0 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.084 |   5.632 | 0.005 | 0.012 | 0.020 | 0.048 |  0.009 |      43.000 |      43.000 |     51084.000 |      43.000 |
|    86 |   0 |    0 |   43 |  43 |   0 | POST   | /                  | 0.004 | 0.408 |   5.624 | 0.065 | 0.212 | 0.232 | 0.408 |  0.087 |       0.000 |       0.000 |         0.000 |       0.000 |
|    49 |   0 |    0 |   49 |   0 |   0 | POST   | /register          | 0.012 | 0.216 |   4.500 | 0.092 | 0.148 | 0.208 | 0.216 |  0.047 |       0.000 |       0.000 |         0.000 |       0.000 |
|   138 |   0 |  138 |    0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.116 |   2.692 | 0.020 | 0.036 | 0.060 | 0.112 |  0.020 | 1057458.000 | 1057912.000 | 145980254.000 | 1057827.928 |
|   131 |   0 |  131 |    0 |   0 |   0 | GET    | /image/10599.png   | 0.004 | 0.084 |   2.612 | 0.020 | 0.036 | 0.044 | 0.076 |  0.016 |  934260.000 |  934913.000 | 122464087.000 |  934840.359 |
|   141 |   0 |  141 |    0 |   0 |   0 | GET    | /image/10591.png   | 0.004 | 0.172 |   2.584 | 0.018 | 0.040 | 0.052 | 0.108 |  0.021 | 1001252.000 | 1001986.000 | 141258413.000 | 1001832.716 |
|   131 |   0 |  131 |    0 |   0 |   0 | GET    | /image/10611.png   | 0.004 | 0.108 |   2.456 | 0.019 | 0.044 | 0.048 | 0.100 |  0.018 |  902636.000 |  903250.000 | 118319470.000 |  903202.061 |
|   123 |   0 |  123 |    0 |   0 |   0 | GET    | /image/10608.png   | 0.004 | 0.096 |   2.276 | 0.019 | 0.048 | 0.056 | 0.092 |  0.019 |  846718.000 |  847277.000 | 104207755.000 |  847217.520 |
|   125 |   0 |  125 |    0 |   0 |   0 | GET    | /image/10602.png   | 0.004 | 0.100 |   2.248 | 0.018 | 0.036 | 0.048 | 0.080 |  0.016 |  817826.000 |  818265.000 | 102279647.000 |  818237.176 |
|   120 |   0 |  120 |    0 |   0 |   0 | GET    | /image/10603.png   | 0.004 | 0.124 |   2.212 | 0.018 | 0.036 | 0.044 | 0.064 |  0.016 | 1004142.000 | 1004771.000 | 120562333.000 | 1004686.108 |
|   126 |   0 |  126 |    0 |   0 |   0 | GET    | /image/10612.png   | 0.004 | 0.096 |   2.204 | 0.017 | 0.044 | 0.052 | 0.076 |  0.017 |  874586.000 |  875176.000 | 110264896.000 |  875118.222 |
|   137 |   0 |  137 |    0 |   0 |   0 | GET    | /image/10596.png   | 0.004 | 0.088 |   2.084 | 0.015 | 0.032 | 0.044 | 0.076 |  0.013 |  995801.000 |  996437.000 | 136499775.000 |  996348.723 |
