+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   520 |   0 |  520 |    0 |   0 |   0 | GET    | /                  | 0.080 | 0.876 | 271.040 | 0.521 | 0.680 | 0.740 | 0.832 |  0.133 |    2661.000 |    6040.000 |   1823459.000 |    3506.652 |
|   117 |   0 |  117 |    0 |   0 |   0 | GET    | /posts             | 0.080 | 1.120 |  86.543 | 0.740 | 0.976 | 0.992 | 1.072 |  0.192 |    4961.000 |    5785.000 |    624201.000 |    5335.051 |
|   381 |   0 |    0 |  381 |   0 |   0 | POST   | /login             | 0.024 | 0.252 |  27.321 | 0.072 | 0.128 | 0.144 | 0.180 |  0.044 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1165 |   0 | 1165 |    0 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.076 |   5.684 | 0.005 | 0.012 | 0.024 | 0.052 |  0.010 |      43.000 |      43.000 |     50095.000 |      43.000 |
|    90 |   0 |    0 |   45 |  45 |   0 | POST   | /                  | 0.000 | 0.268 |   4.716 | 0.052 | 0.196 | 0.232 | 0.268 |  0.074 |       0.000 |       0.000 |         0.000 |       0.000 |
|    51 |   0 |    0 |   51 |   0 |   0 | POST   | /register          | 0.016 | 0.208 |   4.616 | 0.091 | 0.148 | 0.164 | 0.208 |  0.042 |       0.000 |       0.000 |         0.000 |       0.000 |
|   137 |   0 |  137 |    0 |   0 |   0 | GET    | /image/10634.png   | 0.004 | 0.120 |   2.612 | 0.019 | 0.044 | 0.056 | 0.112 |  0.020 |  838030.000 |  838580.000 | 114876466.000 |  838514.350 |
|   128 |   0 |  128 |    0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.072 |   2.604 | 0.020 | 0.036 | 0.044 | 0.064 |  0.014 | 1057491.000 | 1057911.000 | 135402650.000 | 1057833.203 |
|   121 |   0 |  121 |    0 |   0 |   0 | GET    | /image/10652.png   | 0.004 | 0.128 |   2.332 | 0.019 | 0.036 | 0.056 | 0.104 |  0.018 | 1014959.000 | 1015598.000 | 122879250.000 | 1015530.992 |
|   124 |   0 |  124 |    0 |   0 |   0 | GET    | /image/10639.png   | 0.004 | 0.112 |   2.264 | 0.018 | 0.044 | 0.048 | 0.100 |  0.019 |  976332.000 |  977019.000 | 121136608.000 |  976908.129 |
|   135 |   0 |  135 |    0 |   0 |   0 | GET    | /image/10637.png   | 0.004 | 0.100 |   2.220 | 0.016 | 0.032 | 0.052 | 0.080 |  0.016 |  917430.000 |  918060.000 | 123928827.000 |  917991.311 |
|   124 |   0 |  124 |    0 |   0 |   0 | GET    | /image/10635.png   | 0.004 | 0.152 |   2.204 | 0.018 | 0.044 | 0.064 | 0.136 |  0.025 |  686111.000 |  686445.000 |  85116476.000 |  686423.194 |
|   126 |   0 |  126 |    0 |   0 |   0 | GET    | /image/10643.png   | 0.004 | 0.084 |   2.176 | 0.017 | 0.036 | 0.048 | 0.080 |  0.016 |  860452.000 |  860994.000 | 108477418.000 |  860931.889 |
