+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
|   511 |   0 |  511 |    0 |   0 |   0 | GET    | /                  | 0.080 | 0.908 | 274.326 | 0.537 | 0.708 | 0.748 | 0.856 |  0.140 |    2688.000 |    6044.000 |   1827935.000 |    3577.172 |
|   112 |   0 |  112 |    0 |   0 |   0 | GET    | /posts             | 0.232 | 1.088 |  86.121 | 0.769 | 0.960 | 1.012 | 1.080 |  0.156 |    5009.000 |    5785.000 |    596915.000 |    5329.598 |
|   374 |   0 |    0 |  374 |   0 |   0 | POST   | /login             | 0.004 | 0.240 |  23.936 | 0.064 | 0.128 | 0.144 | 0.216 |  0.045 |       0.000 |       0.000 |         0.000 |       0.000 |
|    84 |   0 |    0 |   42 |  42 |   0 | POST   | /                  | 0.004 | 0.292 |   5.392 | 0.064 | 0.208 | 0.264 | 0.292 |  0.081 |       0.000 |       0.000 |         0.000 |       0.000 |
|  1200 |   0 | 1200 |    0 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.112 |   4.804 | 0.004 | 0.012 | 0.016 | 0.040 |  0.008 |      43.000 |      43.000 |     51600.000 |      43.000 |
|    49 |   0 |    0 |   49 |   0 |   0 | POST   | /register          | 0.016 | 0.192 |   4.092 | 0.084 | 0.148 | 0.156 | 0.192 |  0.042 |       0.000 |       0.000 |         0.000 |       0.000 |
|   137 |   0 |  137 |    0 |   0 |   0 | GET    | /image/10000.png   | 0.004 | 0.056 |   2.400 | 0.018 | 0.036 | 0.048 | 0.052 |  0.013 | 1057379.000 | 1057919.000 | 144923494.000 | 1057835.723 |
|   134 |   0 |  134 |    0 |   0 |   0 | GET    | /image/10697.png   | 0.004 | 0.136 |   2.156 | 0.016 | 0.032 | 0.044 | 0.092 |  0.017 |  789691.000 |  790185.000 | 105878330.000 |  790136.791 |
|   142 |   0 |  142 |    0 |   0 |   0 | GET    | /image/10679.png   | 0.004 | 0.072 |   2.148 | 0.015 | 0.032 | 0.044 | 0.064 |  0.013 |  884885.000 |  885491.000 | 125727470.000 |  885404.718 |
|   131 |   0 |  131 |    0 |   0 |   0 | GET    | /image/10691.png   | 0.004 | 0.132 |   2.096 | 0.016 | 0.032 | 0.040 | 0.064 |  0.015 |  971334.000 |  972028.000 | 127325994.000 |  971954.153 |
|   126 |   0 |  126 |    0 |   0 |   0 | GET    | /image/10692.png   | 0.004 | 0.112 |   2.089 | 0.017 | 0.040 | 0.048 | 0.096 |  0.018 |  968528.000 |  969229.000 | 122107110.000 |  969104.048 |
|   123 |   0 |  123 |    0 |   0 |   0 | GET    | /image/10696.png   | 0.004 | 0.108 |   2.084 | 0.017 | 0.032 | 0.040 | 0.064 |  0.014 |  855301.000 |  855811.000 | 105260998.000 |  855780.472 |
|   138 |   0 |  138 |    0 |   0 |   0 | GET    | /image/10684.png   | 0.004 | 0.080 |   2.068 | 0.015 | 0.032 | 0.040 | 0.052 |  0.013 |  874513.000 |  875102.000 | 120756088.000 |  875044.116 |
|   132 |   0 |  132 |    0 |   0 |   0 | GET    | /image/10685.png   | 0.004 | 0.072 |   2.048 | 0.016 | 0.036 | 0.040 | 0.068 |  0.013 |  908410.000 |  908975.000 | 119976496.000 |  908912.848 |
|   133 |   0 |  133 |    0 |   0 |   0 | GET    | /image/10681.png   | 0.004 | 0.056 |   2.012 | 0.015 | 0.032 | 0.040 | 0.052 |  0.012 |  838101.000 |  838595.000 | 111528032.000 |  838556.632 |
|   125 |   0 |  125 |    0 |   0 |   0 | GET    | /image/10699.png   | 0.004 | 0.084 |   1.956 | 0.016 | 0.032 | 0.048 | 0.060 |  0.014 |  796260.000 |  796769.000 |  99591714.000 |  796733.712 |
|   123 |   0 |  123 |    0 |   0 |   0 | GET    | /image/10687.png   | 0.004 | 0.060 |   1.932 | 0.016 | 0.032 | 0.040 | 0.048 |  0.011 |  971327.000 |  972028.000 | 119549242.000 |  971945.057 |
|   124 |   0 |  124 |    0 |   0 |   0 | GET    | /image/10688.png   | 0.004 | 0.096 |   1.912 | 0.015 | 0.032 | 0.048 | 0.056 |  0.015 |  795544.000 |  796021.000 |  98702578.000 |  795988.532 |
|   126 |   0 |  126 |    0 |   0 |   0 | GET    | /image/10689.png   | 0.004 | 0.060 |   1.900 | 0.015 | 0.032 | 0.040 | 0.060 |  0.012 |  902437.000 |  903034.000 | 113775269.000 |  902978.325 |
|   117 |   0 |  117 |    0 |   0 |   0 | GET    | /image/10703.png   | 0.004 | 0.092 |   1.812 | 0.015 | 0.032 | 0.044 | 0.080 |  0.016 |  949082.000 |  949759.000 | 111108673.000 |  949646.778 |
|   138 |   0 |  138 |    0 |   0 |   0 | GET    | /image/10682.png   | 0.004 | 0.100 |   1.721 | 0.012 | 0.024 | 0.036 | 0.060 |  0.013 |  796267.000 |  796770.000 | 109947167.000 |  796718.601 |
|    49 |   0 |    0 |   49 |   0 |   0 | POST   | /comment           | 0.004 | 0.128 |   1.672 | 0.034 | 0.080 | 0.084 | 0.128 |  0.026 |       0.000 |       0.000 |         0.000 |       0.000 |
