+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
|   533 |   0 |  533 |    0 |   0 |   0 | GET    | /                  | 0.080 | 0.940 | 272.116 | 0.511 | 0.680 | 0.731 | 0.780 |  0.136 |  2729.000 |    6041.000 |    1953485.000 |   3665.075 |
|  9847 |   0 | 9847 |    0 |   0 |   0 | GET    | /image/\d+         | 0.000 | 0.152 | 111.197 | 0.011 | 0.028 | 0.040 | 0.068 |  0.014 | 31893.000 | 1090836.000 | 2910106867.000 | 295532.331 |
|   118 |   0 |  118 |    0 |   0 |   0 | GET    | /posts             | 0.108 | 1.064 |  84.802 | 0.719 | 0.916 | 0.944 | 0.992 |  0.156 |  4965.000 |    5785.000 |     630353.000 |   5341.975 |
|   135 |   0 |  135 |    0 |   0 |   0 | GET    | /@\w+              | 0.056 | 0.824 |  71.482 | 0.529 | 0.696 | 0.728 | 0.792 |  0.128 |  1736.000 |    5227.000 |     428163.000 |   3171.578 |
|   917 |   0 |  917 |    0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 | 0.272 |  49.025 | 0.053 | 0.116 | 0.168 | 0.224 |  0.047 |   766.000 |    1968.000 |    1188784.000 |   1296.384 |
|   384 |   0 |    0 |  384 |   0 |   0 | POST   | /login             | 0.020 | 0.244 |  23.935 | 0.062 | 0.120 | 0.140 | 0.183 |  0.042 |     0.000 |       0.000 |          0.000 |      0.000 |
|    90 |   0 |    0 |   45 |  45 |   0 | POST   | /                  | 0.004 | 0.300 |   5.492 | 0.061 | 0.188 | 0.256 | 0.300 |  0.081 |     0.000 |       0.000 |          0.000 |      0.000 |
|  1195 |   0 | 1195 |    0 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.080 |   5.008 | 0.004 | 0.012 | 0.020 | 0.044 |  0.009 |    43.000 |      43.000 |      51385.000 |     43.000 |
|    51 |   0 |    0 |   51 |   0 |   0 | POST   | /register          | 0.012 | 0.244 |   4.528 | 0.089 | 0.156 | 0.172 | 0.244 |  0.046 |     0.000 |       0.000 |          0.000 |      0.000 |
|    51 |   0 |    0 |   51 |   0 |   0 | POST   | /comment           | 0.004 | 0.128 |   1.572 | 0.031 | 0.056 | 0.108 | 0.128 |  0.026 |     0.000 |       0.000 |          0.000 |      0.000 |
|   128 |   0 |  128 |    0 |   0 |   0 | GET    | /login             | 0.004 | 0.172 |   1.216 | 0.010 | 0.028 | 0.036 | 0.068 |  0.019 |   615.000 |     615.000 |      78720.000 |    615.000 |
|    51 |   0 |    0 |    0 |  51 |   0 | GET    | /admin/banned      | 0.004 | 0.072 |   0.456 | 0.009 | 0.016 | 0.024 | 0.072 |  0.011 |     0.000 |       0.000 |          0.000 |      0.000 |
|    64 |   0 |    0 |   64 |   0 |   0 | GET    | /logout            | 0.000 | 0.064 |   0.412 | 0.006 | 0.016 | 0.044 | 0.064 |  0.013 |    24.000 |      24.000 |       1536.000 |     24.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /initialize        | 0.188 | 0.188 |   0.188 | 0.188 | 0.188 | 0.188 | 0.188 |  0.000 |     0.000 |       0.000 |          0.000 |      0.000 |
|  1195 |   0 |    1 | 1194 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    1097.000 |       1097.000 |      0.918 |
|  1195 |   0 |    1 | 1194 |   0 |   0 | GET    | /js/main.js        | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     830.000 |        830.000 |      0.695 |
|  1195 |   0 |    1 | 1194 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     553.000 |        553.000 |      0.463 |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
