+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
|   546 |   0 |   546 |    0 |   0 |   0 | GET    | /                  | 0.072 | 0.848 | 274.679 | 0.503 | 0.656 | 0.700 | 0.776 |  0.130 |  2851.000 |    6045.000 |    2001307.000 |   3665.397 |
| 10298 |   0 | 10298 |    0 |   0 |   0 | GET    | /image/\d+         | 0.000 | 0.184 | 107.821 | 0.010 | 0.024 | 0.036 | 0.068 |  0.014 | 31886.000 | 1057919.000 | 3006986043.000 | 291997.091 |
|   127 |   0 |   127 |    0 |   0 |   0 | GET    | /posts             | 0.068 | 1.032 |  86.275 | 0.679 | 0.904 | 0.932 | 1.008 |  0.206 |  4965.000 |    5785.000 |     677557.000 |   5335.094 |
|   137 |   0 |   137 |    0 |   0 |   0 | GET    | /@\w+              | 0.064 | 0.896 |  73.206 | 0.534 | 0.732 | 0.764 | 0.840 |  0.139 |  1967.000 |    5227.000 |     454342.000 |   3316.365 |
|  1003 |   0 |  1003 |    0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 | 0.296 |  51.042 | 0.051 | 0.104 | 0.148 | 0.228 |  0.045 |   715.000 |    1832.000 |    1299361.000 |   1295.475 |
|   395 |   0 |     0 |  395 |   0 |   0 | POST   | /login             | 0.024 | 0.280 |  23.116 | 0.059 | 0.112 | 0.132 | 0.164 |  0.040 |     0.000 |       0.000 |          0.000 |      0.000 |
|    92 |   0 |     0 |   46 |  46 |   0 | POST   | /                  | 0.000 | 0.248 |   5.080 | 0.055 | 0.160 | 0.184 | 0.248 |  0.065 |     0.000 |       0.000 |          0.000 |      0.000 |
|    54 |   0 |     0 |   54 |   0 |   0 | POST   | /register          | 0.012 | 0.148 |   3.756 | 0.070 | 0.108 | 0.140 | 0.148 |  0.031 |     0.000 |       0.000 |          0.000 |      0.000 |
|    51 |   0 |     0 |   51 |   0 |   0 | POST   | /comment           | 0.004 | 0.160 |   1.784 | 0.035 | 0.064 | 0.092 | 0.160 |  0.032 |     0.000 |       0.000 |          0.000 |      0.000 |
|   132 |   0 |   132 |    0 |   0 |   0 | GET    | /login             | 0.004 | 0.140 |   1.144 | 0.009 | 0.024 | 0.052 | 0.096 |  0.019 |   615.000 |     615.000 |      81180.000 |    615.000 |
|    54 |   0 |     0 |    0 |  54 |   0 | GET    | /admin/banned      | 0.004 | 0.076 |   0.580 | 0.011 | 0.028 | 0.036 | 0.076 |  0.013 |     0.000 |       0.000 |          0.000 |      0.000 |
|    66 |   0 |     0 |   66 |   0 |   0 | GET    | /logout            | 0.004 | 0.060 |   0.564 | 0.009 | 0.024 | 0.032 | 0.060 |  0.013 |    24.000 |      24.000 |       1584.000 |     24.000 |
|     1 |   0 |     1 |    0 |   0 |   0 | GET    | /initialize        | 0.048 | 0.048 |   0.048 | 0.048 | 0.048 | 0.048 | 0.048 |  0.000 |     0.000 |       0.000 |          0.000 |      0.000 |
|  1287 |   0 |     1 | 1286 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    1097.000 |       1097.000 |      0.852 |
|  1287 |   0 |     1 | 1286 |   0 |   0 | GET    | /js/main.js        | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     830.000 |        830.000 |      0.645 |
|  1287 |   0 |     1 | 1286 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     553.000 |        553.000 |      0.430 |
|  1287 |   0 |     1 | 1286 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |      43.000 |         43.000 |      0.033 |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
