+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
|   701 |   0 |  701 |     0 |   0 |   0 | GET    | /                  | 0.080 | 0.828 | 353.284 | 0.504 | 0.648 | 0.692 | 0.748 |  0.118 |  2674.000 |    6052.000 |   2429471.000 |  3465.722 |
|   160 |   0 |  160 |     0 |   0 |   0 | GET    | /posts             | 0.116 | 1.116 | 111.234 | 0.695 | 0.984 | 1.012 | 1.060 |  0.250 |  4965.000 |    5785.000 |    855312.000 |  5345.700 |
|   133 |   0 |  133 |     0 |   0 |   0 | GET    | /@\w+              | 0.040 | 1.056 |  82.315 | 0.619 | 0.848 | 0.912 | 0.980 |  0.173 |  1626.000 |    5425.000 |    430743.000 |  3238.669 |
|   972 |   0 |  972 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 | 0.348 |  55.220 | 0.057 | 0.144 | 0.196 | 0.272 |  0.059 |   717.000 |    1968.000 |   1268749.000 |  1305.297 |
|   502 |   0 |    0 |   502 |   0 |   0 | POST   | /login             | 0.004 | 0.240 |  29.863 | 0.059 | 0.128 | 0.152 | 0.184 |  0.046 |     0.000 |       0.000 |         0.000 |     0.000 |
| 13922 |   0 | 2128 | 11794 |   0 |   0 | GET    | /image/\d+         | 0.000 | 0.180 |  14.971 | 0.001 | 0.000 | 0.004 | 0.028 |  0.006 |     0.000 | 1057235.000 | 252817079.000 | 18159.537 |
|    53 |   0 |    0 |    53 |   0 |   0 | POST   | /register          | 0.012 | 0.208 |   4.435 | 0.084 | 0.148 | 0.172 | 0.208 |  0.044 |     0.000 |       0.000 |         0.000 |     0.000 |
|    45 |   0 |    0 |    45 |   0 |   0 | POST   | /comment           | 0.004 | 0.148 |   2.488 | 0.055 | 0.124 | 0.128 | 0.148 |  0.039 |     0.000 |       0.000 |         0.000 |     0.000 |
|   104 |   0 |    0 |    52 |  52 |   0 | POST   | /                  | 0.004 | 0.156 |   1.876 | 0.018 | 0.032 | 0.056 | 0.076 |  0.021 |     0.000 |       0.000 |         0.000 |     0.000 |
|   200 |   0 |  200 |     0 |   0 |   0 | GET    | /login             | 0.016 | 0.124 |   1.876 | 0.009 | 0.036 | 0.044 | 0.100 |  0.020 |   615.000 |     615.000 |    123000.000 |   615.000 |
|   100 |   0 |    0 |   100 |   0 |   0 | GET    | /logout            | 0.004 | 0.116 |   0.636 | 0.006 | 0.012 | 0.024 | 0.060 |  0.014 |    24.000 |      24.000 |      2400.000 |    24.000 |
|    53 |   0 |    0 |     0 |  53 |   0 | GET    | /admin/banned      | 0.000 | 0.084 |   0.360 | 0.007 | 0.016 | 0.036 | 0.084 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.028 | 0.028 |   0.028 | 0.028 | 0.028 | 0.028 | 0.028 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1409 |   0 |    1 |  1408 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.779 |
|  1409 |   0 |    1 |  1408 |   0 |   0 | GET    | /js/main.js        | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.589 |
|  1409 |   0 |    1 |  1408 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.392 |
|  1409 |   0 |    1 |  1408 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.031 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
