+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
|   706 |   0 |  706 |     0 |   0 |   0 | GET    | /                  | 0.072 | 0.864 | 355.668 | 0.504 | 0.648 | 0.704 | 0.792 |  0.121 |  2631.000 |    6044.000 |   2483551.000 |  3517.778 |
|   160 |   0 |  160 |     0 |   0 |   0 | GET    | /posts             | 0.068 | 1.196 | 114.306 | 0.714 | 0.972 | 1.032 | 1.120 |  0.231 |  4965.000 |    5785.000 |    855557.000 |  5347.231 |
|   140 |   0 |  140 |     0 |   0 |   0 | GET    | /@\w+              | 0.052 | 0.956 |  79.921 | 0.571 | 0.780 | 0.848 | 0.924 |  0.155 |  1618.000 |    5109.000 |    436749.000 |  3119.636 |
|   988 |   0 |  988 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 | 0.348 |  57.263 | 0.058 | 0.156 | 0.228 | 0.292 |  0.066 |   723.000 |    1924.000 |   1290391.000 |  1306.064 |
|   507 |   0 |    0 |   507 |   0 |   0 | POST   | /login             | 0.044 | 0.212 |  28.637 | 0.056 | 0.120 | 0.144 | 0.184 |  0.044 |     0.000 |       0.000 |         0.000 |     0.000 |
| 13989 |   0 | 1877 | 12112 |   0 |   0 | GET    | /image/\d+         | 0.000 | 0.204 |  12.623 | 0.001 | 0.000 | 0.004 | 0.024 |  0.006 |     0.000 | 1056749.000 | 228031404.000 | 16300.765 |
|    54 |   0 |    0 |    54 |   0 |   0 | POST   | /register          | 0.012 | 0.212 |   4.304 | 0.080 | 0.156 | 0.168 | 0.212 |  0.048 |     0.000 |       0.000 |         0.000 |     0.000 |
|   102 |   0 |    0 |    51 |  51 |   0 | POST   | /                  | 0.000 | 0.095 |   1.975 | 0.019 | 0.048 | 0.060 | 0.092 |  0.021 |     0.000 |       0.000 |         0.000 |     0.000 |
|    48 |   0 |    0 |    48 |   0 |   0 | POST   | /comment           | 0.004 | 0.112 |   1.836 | 0.038 | 0.088 | 0.092 | 0.112 |  0.030 |     0.000 |       0.000 |         0.000 |     0.000 |
|   202 |   0 |  202 |     0 |   0 |   0 | GET    | /login             | 0.004 | 0.088 |   1.820 | 0.009 | 0.032 | 0.052 | 0.080 |  0.016 |   615.000 |     615.000 |    124230.000 |   615.000 |
|   101 |   0 |    0 |   101 |   0 |   0 | GET    | /logout            | 0.000 | 0.088 |   0.436 | 0.004 | 0.008 | 0.020 | 0.048 |  0.011 |    24.000 |      24.000 |      2424.000 |    24.000 |
|    54 |   0 |    0 |     0 |  54 |   0 | GET    | /admin/banned      | 0.004 | 0.036 |   0.340 | 0.006 | 0.012 | 0.024 | 0.036 |  0.007 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.024 | 0.024 |   0.024 | 0.024 | 0.024 | 0.024 | 0.024 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1429 |   0 |    1 |  1428 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.768 |
|  1429 |   0 |    1 |  1428 |   0 |   0 | GET    | /js/main.js        | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.581 |
|  1429 |   0 |    1 |  1428 |   0 |   0 | GET    | /css/style.css     | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.387 |
|  1429 |   0 |    1 |  1428 |   0 |   0 | GET    | /favicon.ico       | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.030 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
