+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  1633 |   0 | 1633 |     0 |   0 |   0 | GET    | /                  | 0.028 |  0.436 | 302.443 |  0.185 |  0.252 |  0.272 |  0.320 |  0.050 |  2587.000 |    6049.000 |   4963267.000 |  3039.355 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.999 | 10.004 | 120.012 | 10.001 | 10.003 | 10.004 | 10.004 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|   185 |   0 |  185 |     0 |   0 |   0 | GET    | /@\w+              | 0.044 |  0.992 | 101.560 |  0.549 |  0.796 |  0.864 |  0.948 |  0.167 |  1831.000 |    5687.000 |    607299.000 |  3282.697 |
|  1126 |   0 |    0 |  1126 |   0 |   0 | POST   | /login             | 0.040 |  0.160 |  55.645 |  0.049 |  0.096 |  0.112 |  0.136 |  0.034 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1353 |   0 | 1353 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.172 |  50.547 |  0.037 |  0.068 |  0.076 |  0.104 |  0.022 |   705.000 |    1981.000 |   1722669.000 |  1273.222 |
|   121 |   0 |    0 |   121 |   0 |   0 | POST   | /register          | 0.016 |  0.152 |   7.879 |  0.065 |  0.100 |  0.112 |  0.152 |  0.027 |     0.000 |       0.000 |         0.000 |     0.000 |
| 24331 |   0 | 2059 | 22272 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.068 |   7.752 |  0.000 |  0.000 |  0.000 |  0.012 |  0.002 |     0.000 | 1265914.000 | 244550169.000 | 10050.971 |
|   226 |   0 |    0 |   113 | 113 |   0 | POST   | /                  | 0.000 |  0.072 |   2.928 |  0.013 |  0.032 |  0.044 |  0.052 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|    71 |   0 |    0 |    71 |   0 |   0 | POST   | /comment           | 0.004 |  0.084 |   1.280 |  0.018 |  0.040 |  0.056 |  0.084 |  0.017 |     0.000 |       0.000 |         0.000 |     0.000 |
|   472 |   0 |  472 |     0 |   0 |   0 | GET    | /login             | 0.000 |  0.016 |   0.956 |  0.002 |  0.004 |  0.008 |  0.012 |  0.003 |   615.000 |     615.000 |    290280.000 |   615.000 |
|   121 |   0 |    0 |     0 | 121 |   0 | GET    | /admin/banned      | 0.000 |  0.036 |   0.572 |  0.005 |  0.012 |  0.016 |  0.020 |  0.006 |     0.000 |       0.000 |         0.000 |     0.000 |
|   236 |   0 |    0 |   236 |   0 |   0 | GET    | /logout            | 0.000 |  0.032 |   0.540 |  0.002 |  0.004 |  0.008 |  0.020 |  0.004 |    24.000 |      24.000 |      5664.000 |    24.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.012 |  0.012 |   0.012 |  0.012 |  0.012 |  0.012 |  0.012 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2377 |   0 |    1 |  2376 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.462 |
|  2377 |   0 |    1 |  2376 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.349 |
|  2377 |   0 |    1 |  2376 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.233 |
|  2377 |   0 |    1 |  2376 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.018 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
