+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2022 |   0 | 2022 |     0 |   0 |   0 | GET    | /                  | 0.024 |  0.512 | 279.110 |  0.138 |  0.196 |  0.220 |  0.252 |  0.045 |  2583.000 |    6058.000 |   6100537.000 |  3017.081 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.999 | 10.007 | 120.008 | 10.001 | 10.003 | 10.007 | 10.007 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|   199 |   0 |  199 |     0 |   0 |   0 | GET    | /@\w+              | 0.052 |  0.936 | 100.907 |  0.507 |  0.719 |  0.768 |  0.872 |  0.148 |  1838.000 |    5535.000 |    646680.000 |  3249.648 |
|  1341 |   0 |    0 |  1341 |   0 |   0 | POST   | /login             | 0.068 |  0.184 |  69.867 |  0.052 |  0.100 |  0.112 |  0.140 |  0.035 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1418 |   0 | 1418 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.168 |  52.319 |  0.037 |  0.068 |  0.080 |  0.116 |  0.023 |   696.000 |    1915.000 |   1783308.000 |  1257.622 |
|   144 |   0 |    0 |   144 |   0 |   0 | POST   | /register          | 0.016 |  0.156 |  10.304 |  0.072 |  0.116 |  0.132 |  0.152 |  0.029 |     0.000 |       0.000 |         0.000 |     0.000 |
| 30079 |   0 | 2120 | 27959 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.124 |   8.089 |  0.000 |  0.000 |  0.000 |  0.008 |  0.002 | 59469.000 | 1056749.000 | 245938471.000 |  8176.418 |
|   278 |   0 |    0 |   139 | 139 |   0 | POST   | /                  | 0.000 |  0.072 |   3.568 |  0.013 |  0.028 |  0.048 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   560 |   0 |  560 |     0 |   0 |   0 | GET    | /login             | 0.004 |  0.024 |   1.292 |  0.002 |  0.004 |  0.008 |  0.016 |  0.003 |   615.000 |     615.000 |    344400.000 |   615.000 |
|    79 |   0 |    0 |    79 |   0 |   0 | POST   | /comment           | 0.004 |  0.076 |   1.264 |  0.016 |  0.028 |  0.048 |  0.076 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   144 |   0 |    0 |     0 | 144 |   0 | GET    | /admin/banned      | 0.004 |  0.020 |   0.760 |  0.005 |  0.012 |  0.012 |  0.016 |  0.004 |     0.000 |       0.000 |         0.000 |     0.000 |
|   280 |   0 |    0 |   280 |   0 |   0 | GET    | /logout            | 0.000 |  0.032 |   0.696 |  0.002 |  0.008 |  0.008 |  0.016 |  0.004 |    24.000 |      24.000 |      6720.000 |    24.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.020 |  0.020 |   0.020 |  0.020 |  0.020 |  0.020 |  0.020 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2697 |   0 |    1 |  2696 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.407 |
|  2697 |   0 |    1 |  2696 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.308 |
|  2697 |   0 |    1 |  2696 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.205 |
|  2697 |   0 |    1 |  2696 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.016 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
