+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  1937 |   0 | 1937 |     0 |   0 |   0 | GET    | /                  | 0.024 |  0.728 | 280.244 |  0.145 |  0.200 |  0.224 |  0.276 |  0.046 |  2658.000 |    6039.000 |   5823398.000 |  3006.401 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.997 | 10.003 | 119.998 | 10.000 | 10.001 | 10.003 | 10.003 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|   187 |   0 |  187 |     0 |   0 |   0 | GET    | /@\w+              | 0.056 |  0.980 |  98.810 |  0.528 |  0.744 |  0.800 |  0.960 |  0.151 |  1825.000 |    5468.000 |    614592.000 |  3286.588 |
|  1273 |   0 |    0 |  1273 |   0 |   0 | POST   | /login             | 0.040 |  0.172 |  69.101 |  0.054 |  0.100 |  0.116 |  0.136 |  0.035 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1387 |   0 | 1387 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.188 |  54.075 |  0.039 |  0.072 |  0.080 |  0.116 |  0.024 |   707.000 |    1863.000 |   1748452.000 |  1260.600 |
|   138 |   0 |    0 |   138 |   0 |   0 | POST   | /register          | 0.012 |  0.152 |  10.903 |  0.079 |  0.116 |  0.128 |  0.147 |  0.028 |     0.000 |       0.000 |         0.000 |     0.000 |
| 28976 |   0 | 1881 | 27095 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.088 |   7.990 |  0.000 |  0.000 |  0.000 |  0.012 |  0.002 |     0.000 | 1056749.000 | 217815706.000 |  7517.107 |
|   264 |   0 |    0 |   132 | 132 |   0 | POST   | /                  | 0.004 |  0.080 |   3.524 |  0.013 |  0.028 |  0.048 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   532 |   0 |  532 |     0 |   0 |   0 | GET    | /login             | 0.000 |  0.048 |   1.220 |  0.002 |  0.004 |  0.008 |  0.016 |  0.004 |   615.000 |     615.000 |    327180.000 |   615.000 |
|    73 |   0 |    0 |    73 |   0 |   0 | POST   | /comment           | 0.004 |  0.040 |   1.020 |  0.014 |  0.024 |  0.032 |  0.040 |  0.008 |     0.000 |       0.000 |         0.000 |     0.000 |
|   266 |   0 |    0 |   266 |   0 |   0 | GET    | /logout            | 0.004 |  0.052 |   0.788 |  0.003 |  0.008 |  0.012 |  0.028 |  0.006 |    24.000 |      24.000 |      6384.000 |    24.000 |
|   138 |   0 |    0 |     0 | 138 |   0 | GET    | /admin/banned      | 0.004 |  0.036 |   0.632 |  0.005 |  0.012 |  0.012 |  0.020 |  0.005 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.040 |  0.040 |   0.040 |  0.040 |  0.040 |  0.040 |  0.040 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2620 |   0 |    1 |  2619 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.419 |
|  2620 |   0 |    1 |  2619 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.317 |
|  2620 |   0 |    1 |  2619 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.211 |
|  2620 |   0 |    1 |  2619 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.016 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
