+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  1983 |   0 | 1983 |     0 |   0 |   0 | GET    | /                  | 0.024 |  0.348 | 278.184 |  0.140 |  0.200 |  0.216 |  0.260 |  0.045 |  2497.000 |    6050.000 |   5922767.000 |  2986.771 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.996 | 10.005 | 120.002 | 10.000 | 10.001 | 10.005 | 10.005 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1291 |   0 |    0 |  1291 |   0 |   0 | POST   | /login             | 0.016 |  0.392 |  77.487 |  0.060 |  0.112 |  0.128 |  0.156 |  0.040 |     0.000 |       0.000 |         0.000 |     0.000 |
|   257 |   0 |  257 |     0 |   0 |   0 | GET    | /@\w+              | 0.020 |  0.612 |  73.936 |  0.288 |  0.420 |  0.460 |  0.552 |  0.095 |  1376.000 |    5044.000 |    812512.000 |  3161.525 |
|  1733 |   0 | 1733 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.168 |  69.289 |  0.040 |  0.068 |  0.080 |  0.120 |  0.023 |   697.000 |    1977.000 |   2213593.000 |  1277.319 |
|   137 |   0 |    0 |   137 |   0 |   0 | POST   | /register          | 0.016 |  0.164 |  11.012 |  0.080 |  0.116 |  0.132 |  0.164 |  0.030 |     0.000 |       0.000 |         0.000 |     0.000 |
| 29943 |   0 | 2335 | 27608 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.072 |   9.361 |  0.000 |  0.000 |  0.000 |  0.012 |  0.002 |     0.000 | 1265181.000 | 256333360.000 |  8560.711 |
|   262 |   0 |    0 |   131 | 131 |   0 | POST   | /                  | 0.000 |  0.076 |   3.492 |  0.013 |  0.032 |  0.048 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   106 |   0 |    0 |   106 |   0 |   0 | POST   | /comment           | 0.004 |  0.052 |   1.620 |  0.015 |  0.024 |  0.028 |  0.036 |  0.008 |     0.000 |       0.000 |         0.000 |     0.000 |
|   524 |   0 |  524 |     0 |   0 |   0 | GET    | /login             | 0.004 |  0.048 |   1.576 |  0.003 |  0.008 |  0.008 |  0.020 |  0.004 |   615.000 |     615.000 |    322260.000 |   615.000 |
|   137 |   0 |    0 |     0 | 137 |   0 | GET    | /admin/banned      | 0.004 |  0.032 |   0.800 |  0.006 |  0.012 |  0.020 |  0.028 |  0.006 |     0.000 |       0.000 |         0.000 |     0.000 |
|   262 |   0 |    0 |   262 |   0 |   0 | GET    | /logout            | 0.000 |  0.048 |   0.704 |  0.003 |  0.008 |  0.008 |  0.020 |  0.004 |    24.000 |      24.000 |      6288.000 |    24.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.032 |  0.032 |   0.032 |  0.032 |  0.032 |  0.032 |  0.032 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2988 |   0 |    1 |  2987 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.367 |
|  2988 |   0 |    1 |  2987 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.278 |
|  2988 |   0 |    1 |  2987 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.185 |
|  2988 |   0 |    1 |  2987 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.014 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
