+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2266 |   0 | 2266 |     0 |   0 |   0 | GET    | /                  | 0.012 |  0.412 | 275.337 |  0.122 |  0.188 |  0.212 |  0.264 |  0.051 |  2610.000 |    6043.000 |   6699346.000 |  2956.463 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.996 | 10.004 | 120.004 | 10.000 | 10.003 | 10.004 | 10.004 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1212 |   0 |    0 |  1212 |   0 |   0 | POST   | /login             | 0.004 |  0.256 |  78.191 |  0.065 |  0.120 |  0.136 |  0.164 |  0.042 |     0.000 |       0.000 |         0.000 |     0.000 |
|   248 |   0 |  248 |     0 |   0 |   0 | GET    | /@\w+              | 0.028 |  0.636 |  73.695 |  0.297 |  0.432 |  0.480 |  0.560 |  0.104 |  1668.000 |    4792.000 |    815758.000 |  3289.347 |
|  1744 |   0 | 1744 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.008 |  0.164 |  68.327 |  0.039 |  0.068 |  0.080 |  0.116 |  0.023 |   702.000 |    1846.000 |   2241781.000 |  1285.425 |
|   127 |   0 |    0 |   127 |   0 |   0 | POST   | /register          | 0.016 |  0.184 |  11.472 |  0.090 |  0.140 |  0.148 |  0.180 |  0.034 |     0.000 |       0.000 |         0.000 |     0.000 |
| 36400 |   0 | 2330 | 34070 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.052 |   8.667 |  0.000 |  0.000 |  0.000 |  0.008 |  0.002 |     0.000 | 1169742.000 | 287909220.000 |  7909.594 |
|   248 |   0 |    0 |   124 | 124 |   0 | POST   | /                  | 0.004 |  0.096 |   3.328 |  0.013 |  0.028 |  0.040 |  0.076 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   490 |   0 |  490 |     0 |   0 |   0 | GET    | /login             | 0.000 |  0.052 |   1.608 |  0.003 |  0.008 |  0.012 |  0.020 |  0.005 |   615.000 |     615.000 |    301350.000 |   615.000 |
|   102 |   0 |    0 |   102 |   0 |   0 | POST   | /comment           | 0.004 |  0.052 |   1.564 |  0.015 |  0.024 |  0.028 |  0.036 |  0.008 |     0.000 |       0.000 |         0.000 |     0.000 |
|   245 |   0 |    0 |   245 |   0 |   0 | GET    | /logout            | 0.000 |  0.032 |   0.764 |  0.003 |  0.008 |  0.012 |  0.020 |  0.005 |    24.000 |      24.000 |      5880.000 |    24.000 |
|   127 |   0 |    0 |     0 | 127 |   0 | GET    | /admin/banned      | 0.004 |  0.048 |   0.660 |  0.005 |  0.012 |  0.016 |  0.020 |  0.006 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.032 |  0.032 |   0.032 |  0.032 |  0.032 |  0.032 |  0.032 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3326 |   0 |    1 |  3325 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.330 |
|  3326 |   0 |    1 |  3325 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.250 |
|  3326 |   0 |    1 |  3325 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.166 |
|  3326 |   0 |    1 |  3325 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.013 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
