+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2060 |   0 | 2060 |     0 |   0 |   0 | GET    | /                  |  0.016 |  0.380 | 283.452 |  0.138 |  0.212 |  0.236 |  0.288 |  0.056 |  2649.000 |    6055.000 |   6387785.000 |  3100.867 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.004 | 120.008 | 10.001 | 10.004 | 10.004 | 10.004 |  0.001 |     0.000 |       0.000 |         0.000 |     0.000 |
|   375 |   0 |  375 |     0 |   0 |   0 | GET    | /@\w+              |  0.016 |  0.464 |  88.092 |  0.235 |  0.340 |  0.384 |  0.448 |  0.082 |  1668.000 |    5530.000 |   1214638.000 |  3239.035 |
|  1130 |   0 |    0 |  1130 |   0 |   0 | POST   | /login             |  0.052 |  0.192 |  77.288 |  0.068 |  0.124 |  0.136 |  0.160 |  0.043 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2853 |   0 | 2853 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.084 |  41.936 |  0.015 |  0.028 |  0.036 |  0.052 |  0.010 |   680.000 |    1977.000 |   3688771.000 |  1292.945 |
| 35108 |   0 | 3452 | 31656 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.092 |  10.967 |  0.000 |  0.000 |  0.000 |  0.012 |  0.003 |     0.000 | 1155763.000 | 426767069.000 | 12155.835 |
|   118 |   0 |    0 |   118 |   0 |   0 | POST   | /register          |  0.016 |  0.192 |  10.856 |  0.092 |  0.152 |  0.168 |  0.192 |  0.040 |     0.000 |       0.000 |         0.000 |     0.000 |
|   224 |   0 |    0 |   112 | 112 |   0 | POST   | /                  |  0.004 |  0.100 |   3.628 |  0.016 |  0.036 |  0.060 |  0.092 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|   113 |   0 |    0 |   113 |   0 |   0 | POST   | /comment           |  0.004 |  0.048 |   1.708 |  0.015 |  0.028 |  0.028 |  0.044 |  0.008 |     0.000 |       0.000 |         0.000 |     0.000 |
|   450 |   0 |  450 |     0 |   0 |   0 | GET    | /login             |  0.004 |  0.048 |   1.608 |  0.004 |  0.008 |  0.012 |  0.028 |  0.005 |   615.000 |     615.000 |    276750.000 |   615.000 |
|   225 |   0 |    0 |   225 |   0 |   0 | GET    | /logout            |  0.000 |  0.036 |   0.740 |  0.003 |  0.008 |  0.012 |  0.020 |  0.004 |    24.000 |      24.000 |      5400.000 |    24.000 |
|   118 |   0 |    0 |     0 | 118 |   0 | GET    | /admin/banned      |  0.004 |  0.036 |   0.628 |  0.005 |  0.012 |  0.016 |  0.020 |  0.005 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.028 |  0.028 |   0.028 |  0.028 |  0.028 |  0.028 |  0.028 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  4377 |   0 |    1 |  4376 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.251 |
|  4377 |   0 |    1 |  4376 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.190 |
|  4377 |   0 |    1 |  4376 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.126 |
|  4377 |   0 |    1 |  4376 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.010 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
