+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  1820 |   0 | 1820 |     0 |   0 |   0 | GET    | /                  |  0.012 |  0.536 | 289.380 |  0.159 |  0.224 |  0.252 |  0.308 |  0.052 |  2598.000 |    6046.000 |   5626000.000 |  3091.209 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.004 | 120.004 | 10.000 | 10.000 | 10.004 | 10.004 |  0.001 |     0.000 |       0.000 |         0.000 |     0.000 |
|   382 |   0 |  382 |     0 |   0 |   0 | GET    | /@\w+              |  0.016 |  0.548 |  86.580 |  0.227 |  0.344 |  0.372 |  0.444 |  0.082 |  1563.000 |    5467.000 |   1243337.000 |  3254.809 |
|  1217 |   0 |    0 |  1217 |   0 |   0 | POST   | /login             |  0.028 |  0.192 |  74.228 |  0.061 |  0.112 |  0.128 |  0.160 |  0.040 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2947 |   0 | 2947 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.096 |  46.496 |  0.016 |  0.028 |  0.036 |  0.056 |  0.011 |   701.000 |    1977.000 |   3809935.000 |  1292.818 |
|   127 |   0 |    0 |   127 |   0 |   0 | POST   | /register          |  0.012 |  0.212 |  10.040 |  0.079 |  0.116 |  0.128 |  0.160 |  0.030 |     0.000 |       0.000 |         0.000 |     0.000 |
| 29821 |   0 | 3263 | 26558 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.108 |   8.164 |  0.000 |  0.000 |  0.000 |  0.012 |  0.002 |     0.000 | 1265181.000 | 386320781.000 | 12954.655 |
|   234 |   0 |    0 |   117 | 117 |   0 | POST   | /                  |  0.004 |  0.092 |   3.500 |  0.015 |  0.032 |  0.048 |  0.072 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
|   118 |   0 |    0 |   118 |   0 |   0 | POST   | /comment           |  0.004 |  0.076 |   2.056 |  0.017 |  0.032 |  0.036 |  0.076 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   492 |   0 |  492 |     0 |   0 |   0 | GET    | /login             |  0.000 |  0.060 |   1.796 |  0.004 |  0.008 |  0.012 |  0.032 |  0.005 |   615.000 |     615.000 |    302580.000 |   615.000 |
|   246 |   0 |    0 |   246 |   0 |   0 | GET    | /logout            |  0.004 |  0.028 |   0.844 |  0.003 |  0.008 |  0.012 |  0.020 |  0.004 |    24.000 |      24.000 |      5904.000 |    24.000 |
|   127 |   0 |    0 |     0 | 127 |   0 | GET    | /admin/banned      |  0.000 |  0.028 |   0.672 |  0.005 |  0.012 |  0.020 |  0.024 |  0.006 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.024 |  0.024 |   0.024 |  0.024 |  0.024 |  0.024 |  0.024 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  4190 |   0 |    1 |  4189 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.262 |
|  4190 |   0 |    1 |  4189 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.198 |
|  4190 |   0 |    1 |  4189 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.132 |
|  4190 |   0 |    1 |  4189 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.010 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
