+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2717 |   0 | 2717 |     0 |   0 |   0 | GET    | /                  |  0.004 |  0.528 | 275.356 |  0.101 |  0.220 |  0.248 |  0.296 |  0.087 |  2734.000 |    6042.000 |   8165755.000 |  3005.431 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.004 | 120.008 | 10.001 | 10.004 | 10.004 | 10.004 |  0.001 |     0.000 |       0.000 |         0.000 |     0.000 |
|   360 |   0 |  360 |     0 |   0 |   0 | GET    | /@\w+              |  0.020 |  0.552 |  81.224 |  0.226 |  0.348 |  0.368 |  0.432 |  0.084 |  1343.000 |    5470.000 |   1163359.000 |  3231.553 |
|  1047 |   0 |    0 |  1047 |   0 |   0 | POST   | /login             |  0.060 |  0.212 |  80.132 |  0.077 |  0.140 |  0.152 |  0.188 |  0.049 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2779 |   0 | 2779 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.104 |  53.176 |  0.019 |  0.036 |  0.044 |  0.060 |  0.012 |   700.000 |    1969.000 |   3600740.000 |  1295.696 |
|   108 |   0 |    0 |   108 |   0 |   0 | POST   | /register          |  0.016 |  0.204 |  11.128 |  0.103 |  0.160 |  0.188 |  0.204 |  0.040 |     0.000 |       0.000 |         0.000 |     0.000 |
| 49080 |   0 | 2805 | 46275 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.080 |   5.269 |  0.000 |  0.000 |  0.000 |  0.000 |  0.001 |     0.000 | 1220284.000 | 332345318.000 |  6771.502 |
|   200 |   0 |    0 |   100 | 100 |   0 | POST   | /                  |  0.016 |  0.092 |   3.640 |  0.018 |  0.048 |  0.056 |  0.076 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|   109 |   0 |    0 |   109 |   0 |   0 | POST   | /comment           |  0.004 |  0.092 |   2.136 |  0.020 |  0.036 |  0.048 |  0.064 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   420 |   0 |  420 |     0 |   0 |   0 | GET    | /login             |  0.000 |  0.060 |   1.880 |  0.004 |  0.008 |  0.016 |  0.032 |  0.006 |   615.000 |     615.000 |    258300.000 |   615.000 |
|   210 |   0 |    0 |   210 |   0 |   0 | GET    | /logout            |  0.004 |  0.040 |   1.028 |  0.005 |  0.012 |  0.016 |  0.032 |  0.006 |    24.000 |      24.000 |      5040.000 |    24.000 |
|   108 |   0 |    0 |     0 | 108 |   0 | GET    | /admin/banned      |  0.004 |  0.044 |   0.756 |  0.007 |  0.016 |  0.024 |  0.028 |  0.007 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.028 |  0.028 |   0.028 |  0.028 |  0.028 |  0.028 |  0.028 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5013 |   0 |    1 |  5012 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.219 |
|  5013 |   0 |    1 |  5012 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.166 |
|  5013 |   0 |    1 |  5012 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.110 |
|  5013 |   0 |    1 |  5012 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.009 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
