+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  1882 |   0 | 1882 |     0 |   0 |   0 | GET    | /                  | 0.004 |  0.320 | 103.871 |  0.055 |  0.092 |  0.108 |  0.144 |  0.029 |  2658.000 |    6053.000 |   5991464.000 |  3183.562 |
|     9 |   0 |    0 |     0 |   9 |   0 | GET    | /posts             | 9.999 | 10.012 |  90.022 | 10.002 | 10.012 | 10.012 | 10.012 |  0.004 |     0.000 |       0.000 |         0.000 |     0.000 |
|   826 |   0 |    0 |   826 |   0 |   0 | POST   | /login             | 0.012 |  0.312 |  81.724 |  0.099 |  0.168 |  0.188 |  0.224 |  0.058 |     0.000 |       0.000 |         0.000 |     0.000 |
|   245 |   0 |  245 |     0 |   0 |   0 | GET    | /@\w+              | 0.052 |  0.396 |  38.135 |  0.156 |  0.240 |  0.272 |  0.396 |  0.063 |  1596.000 |    5530.000 |    785168.000 |  3204.767 |
|  1752 |   0 | 1752 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.136 |  36.140 |  0.021 |  0.036 |  0.048 |  0.068 |  0.013 |   687.000 |    1977.000 |   2260245.000 |  1290.094 |
|    89 |   0 |    0 |    89 |   0 |   0 | POST   | /register          | 0.016 |  0.232 |  11.319 |  0.127 |  0.184 |  0.192 |  0.232 |  0.041 |     0.000 |       0.000 |         0.000 |     0.000 |
| 32478 |   0 | 1840 | 30638 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.072 |   3.910 |  0.000 |  0.000 |  0.000 |  0.000 |  0.002 |     0.000 | 1219758.000 | 227394998.000 |  7001.509 |
|   148 |   0 |    0 |    74 |  74 |   0 | POST   | /                  | 0.004 |  0.096 |   3.220 |  0.022 |  0.044 |  0.068 |  0.088 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|   331 |   0 |  331 |     0 |   0 |   0 | GET    | /login             | 0.004 |  0.048 |   2.892 |  0.009 |  0.020 |  0.024 |  0.040 |  0.008 |   615.000 |     615.000 |    203565.000 |   615.000 |
|    86 |   0 |    0 |    86 |   0 |   0 | POST   | /comment           | 0.004 |  0.096 |   1.495 |  0.017 |  0.028 |  0.044 |  0.096 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   166 |   0 |    0 |   166 |   0 |   0 | GET    | /logout            | 0.004 |  0.052 |   1.416 |  0.009 |  0.016 |  0.024 |  0.052 |  0.009 |    24.000 |      24.000 |      3984.000 |    24.000 |
|    88 |   0 |    0 |     0 |  88 |   0 | GET    | /admin/banned      | 0.004 |  0.084 |   0.840 |  0.010 |  0.020 |  0.028 |  0.084 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.040 |  0.040 |   0.040 |  0.040 |  0.040 |  0.040 |  0.040 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3212 |   0 |    1 |  3211 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.342 |
|  3212 |   0 |    1 |  3211 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.258 |
|  3212 |   0 |    1 |  3211 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.172 |
|  3212 |   0 |    1 |  3211 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.013 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
