+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  3056 |   0 | 3056 |     0 |   0 |   0 | GET    | /                  | 0.004 |  0.264 | 189.684 |  0.062 |  0.108 |  0.128 |  0.168 |  0.035 |  2590.000 |    6043.000 |   9129219.000 |  2987.310 |
|  1372 |   0 |    0 |  1372 |   0 |   0 | POST   | /login             | 0.096 |  0.300 | 140.856 |  0.103 |  0.176 |  0.196 |  0.240 |  0.062 |     0.000 |       0.000 |         0.000 |     0.000 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 9.996 | 10.004 | 120.004 | 10.000 | 10.004 | 10.004 | 10.004 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|   411 |   0 |  411 |     0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.412 |  69.084 |  0.168 |  0.252 |  0.280 |  0.340 |  0.063 |  1563.000 |    5470.000 |   1329204.000 |  3234.073 |
|  2938 |   0 | 2938 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.224 |  65.284 |  0.022 |  0.040 |  0.048 |  0.072 |  0.014 |   705.000 |    2011.000 |   3815926.000 |  1298.818 |
|   148 |   0 |    0 |   148 |   0 |   0 | POST   | /register          | 0.016 |  0.288 |  18.980 |  0.128 |  0.180 |  0.200 |  0.260 |  0.044 |     0.000 |       0.000 |         0.000 |     0.000 |
| 52433 |   0 | 2869 | 49564 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.120 |   5.793 |  0.000 |  0.000 |  0.000 |  0.000 |  0.002 |     0.000 | 1265181.000 | 341273656.000 |  6508.757 |
|   266 |   0 |    0 |   133 | 133 |   0 | POST   | /                  | 0.004 |  0.108 |   5.716 |  0.021 |  0.048 |  0.060 |  0.092 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|   542 |   0 |  542 |     0 |   0 |   0 | GET    | /login             | 0.004 |  0.096 |   5.676 |  0.010 |  0.024 |  0.028 |  0.044 |  0.010 |   615.000 |     615.000 |    333330.000 |   615.000 |
|   271 |   0 |    0 |   271 |   0 |   0 | GET    | /logout            | 0.000 |  0.108 |   3.008 |  0.011 |  0.024 |  0.032 |  0.064 |  0.012 |    24.000 |      24.000 |      6504.000 |    24.000 |
|   145 |   0 |    0 |   145 |   0 |   0 | POST   | /comment           | 0.004 |  0.072 |   2.536 |  0.017 |  0.032 |  0.036 |  0.048 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|   148 |   0 |    0 |     0 | 148 |   0 | GET    | /admin/banned      | 0.000 |  0.068 |   1.648 |  0.011 |  0.024 |  0.032 |  0.060 |  0.010 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.024 |  0.024 |   0.024 |  0.024 |  0.024 |  0.024 |  0.024 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5275 |   0 |    1 |  5274 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.208 |
|  5275 |   0 |    1 |  5274 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.157 |
|  5275 |   0 |    1 |  5274 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.105 |
|  5275 |   0 |    1 |  5274 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
