+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  3057 |   0 | 3057 |     0 |   0 |   0 | GET    | /                  |  0.004 |  0.288 | 190.936 |  0.062 |  0.108 |  0.128 |  0.180 |  0.035 |  2621.000 |    6043.000 |   9071098.000 |  2967.320 |
|  1379 |   0 |    0 |  1379 |   0 |   0 | POST   | /login             |  0.008 |  0.280 | 139.380 |  0.101 |  0.176 |  0.192 |  0.232 |  0.060 |     0.000 |       0.000 |         0.000 |     0.000 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.000 | 120.000 | 10.000 | 10.000 | 10.000 | 10.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3132 |   0 | 3132 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.136 |  69.200 |  0.022 |  0.040 |  0.048 |  0.076 |  0.015 |   699.000 |    1977.000 |   4057386.000 |  1295.462 |
|   433 |   0 |  433 |     0 |   0 |   0 | GET    | /@\w+              |  0.016 |  0.380 |  65.256 |  0.151 |  0.220 |  0.244 |  0.324 |  0.056 |  1563.000 |    5530.000 |   1403308.000 |  3240.896 |
|   152 |   0 |    0 |   152 |   0 |   0 | POST   | /register          |  0.016 |  0.252 |  19.620 |  0.129 |  0.188 |  0.220 |  0.252 |  0.048 |     0.000 |       0.000 |         0.000 |     0.000 |
|   542 |   0 |  542 |     0 |   0 |   0 | GET    | /login             |  0.004 |  0.120 |   5.628 |  0.010 |  0.020 |  0.028 |  0.044 |  0.010 |   615.000 |     615.000 |    333330.000 |   615.000 |
|   260 |   0 |    0 |   130 | 130 |   0 | POST   | /                  |  0.000 |  0.124 |   5.512 |  0.021 |  0.048 |  0.056 |  0.096 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
| 52606 |   0 | 2905 | 49701 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.072 |   4.402 |  0.000 |  0.000 |  0.000 |  0.000 |  0.001 |     0.000 | 1133417.000 | 349577344.000 |  6645.199 |
|   271 |   0 |    0 |   271 |   0 |   0 | GET    | /logout            |  0.004 |  0.064 |   2.908 |  0.011 |  0.024 |  0.028 |  0.052 |  0.010 |    24.000 |      24.000 |      6504.000 |    24.000 |
|   154 |   0 |    0 |   154 |   0 |   0 | POST   | /comment           |  0.004 |  0.064 |   2.680 |  0.017 |  0.032 |  0.044 |  0.060 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   152 |   0 |    0 |     0 | 152 |   0 | GET    | /admin/banned      |  0.008 |  0.076 |   1.744 |  0.011 |  0.024 |  0.028 |  0.052 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.032 |  0.032 |   0.032 |  0.032 |  0.032 |  0.032 |  0.032 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5466 |   0 |    1 |  5465 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.201 |
|  5466 |   0 |    1 |  5465 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.152 |
|  5466 |   0 |    1 |  5465 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.101 |
|  5466 |   0 |    1 |  5465 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
