+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  3029 |   0 | 3029 |     0 |   0 |   0 | GET    | /                  |  0.004 |  0.288 | 191.428 |  0.063 |  0.112 |  0.132 |  0.180 |  0.037 |  2567.000 |    6041.000 |   9181078.000 |  3031.059 |
|  1380 |   0 |    0 |  1380 |   0 |   0 | POST   | /login             |  0.004 |  0.336 | 140.024 |  0.101 |  0.176 |  0.196 |  0.244 |  0.061 |     0.000 |       0.000 |         0.000 |     0.000 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.000 | 120.000 | 10.000 | 10.000 | 10.000 | 10.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3154 |   0 | 3154 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.140 |  69.380 |  0.022 |  0.040 |  0.048 |  0.072 |  0.015 |   697.000 |    1923.000 |   4085256.000 |  1295.262 |
|   443 |   0 |  443 |     0 |   0 |   0 | GET    | /@\w+              |  0.028 |  0.340 |  65.148 |  0.147 |  0.216 |  0.244 |  0.304 |  0.053 |  1626.000 |    5470.000 |   1427321.000 |  3221.944 |
|   149 |   0 |    0 |   149 |   0 |   0 | POST   | /register          |  0.012 |  0.308 |  19.680 |  0.132 |  0.188 |  0.208 |  0.300 |  0.047 |     0.000 |       0.000 |         0.000 |     0.000 |
|   544 |   0 |  544 |     0 |   0 |   0 | GET    | /login             |  0.004 |  0.076 |   5.764 |  0.011 |  0.024 |  0.032 |  0.052 |  0.010 |   615.000 |     615.000 |    334560.000 |   615.000 |
|   258 |   0 |    0 |   129 | 129 |   0 | POST   | /                  |  0.004 |  0.096 |   5.468 |  0.021 |  0.044 |  0.060 |  0.080 |  0.017 |     0.000 |       0.000 |         0.000 |     0.000 |
| 52185 |   0 | 2865 | 49320 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.060 |   3.204 |  0.000 |  0.000 |  0.000 |  0.000 |  0.001 |     0.000 | 1265181.000 | 343746902.000 |  6587.083 |
|   157 |   0 |    0 |   157 |   0 |   0 | POST   | /comment           |  0.004 |  0.072 |   3.048 |  0.019 |  0.032 |  0.044 |  0.056 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   272 |   0 |    0 |   272 |   0 |   0 | GET    | /logout            |  0.008 |  0.072 |   2.828 |  0.010 |  0.024 |  0.028 |  0.056 |  0.010 |    24.000 |      24.000 |      6528.000 |    24.000 |
|   149 |   0 |    0 |     0 | 149 |   0 | GET    | /admin/banned      |  0.004 |  0.044 |   1.840 |  0.012 |  0.028 |  0.036 |  0.044 |  0.010 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.048 |  0.048 |   0.048 |  0.048 |  0.048 |  0.048 |  0.048 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5470 |   0 |    1 |  5469 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.201 |
|  5470 |   0 |    1 |  5469 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.152 |
|  5470 |   0 |    1 |  5469 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.101 |
|  5470 |   0 |    1 |  5469 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
