+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2973 |   0 | 2973 |     0 |   0 |   0 | GET    | /                  | 0.008 |  0.428 | 198.640 | 0.067 |  0.116 |  0.140 |  0.196 |  0.039 |  2541.000 |    6038.000 |   8948074.000 |  3009.779 |
|  1409 |   0 |    0 |  1409 |   0 |   0 | POST   | /login             | 0.004 |  0.316 | 133.204 | 0.095 |  0.164 |  0.180 |  0.216 |  0.056 |     0.000 |       0.000 |         0.000 |     0.000 |
|    13 |   0 |    1 |     0 |  12 |   0 | GET    | /posts             | 0.008 | 10.004 | 120.012 | 9.232 | 10.000 | 10.004 | 10.004 |  2.663 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3309 |   0 | 3309 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.140 |  72.664 | 0.022 |  0.040 |  0.052 |  0.072 |  0.015 |   701.000 |    1892.000 |   4278211.000 |  1292.901 |
|   458 |   0 |  458 |     0 |   0 |   0 | GET    | /@\w+              | 0.020 |  0.372 |  61.772 | 0.135 |  0.216 |  0.240 |  0.328 |  0.057 |  1480.000 |    5470.000 |   1484910.000 |  3242.162 |
|   150 |   0 |    0 |   150 |   0 |   0 | POST   | /register          | 0.012 |  0.240 |  19.012 | 0.127 |  0.196 |  0.208 |  0.228 |  0.046 |     0.000 |       0.000 |         0.000 |     0.000 |
|   266 |   0 |    0 |   133 | 133 |   0 | POST   | /                  | 0.004 |  0.196 |   6.360 | 0.024 |  0.052 |  0.064 |  0.132 |  0.024 |     0.000 |       0.000 |         0.000 |     0.000 |
|   556 |   0 |  556 |     0 |   0 |   0 | GET    | /login             | 0.008 |  0.072 |   5.704 | 0.010 |  0.024 |  0.028 |  0.052 |  0.010 |   615.000 |     615.000 |    341940.000 |   615.000 |
|   278 |   0 |    0 |   278 |   0 |   0 | GET    | /logout            | 0.008 |  0.096 |   3.316 | 0.012 |  0.028 |  0.036 |  0.060 |  0.013 |    24.000 |      24.000 |      6672.000 |    24.000 |
|   159 |   0 |    0 |   159 |   0 |   0 | POST   | /comment           | 0.004 |  0.100 |   2.612 | 0.016 |  0.028 |  0.036 |  0.064 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
| 51127 |   0 | 3016 | 48111 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.064 |   2.411 | 0.000 |  0.000 |  0.000 |  0.000 |  0.001 | 56238.000 | 1197974.000 | 354994258.000 |  6943.381 |
|   150 |   0 |    0 |     0 | 150 |   0 | GET    | /admin/banned      | 0.004 |  0.104 |   1.688 | 0.011 |  0.024 |  0.032 |  0.044 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.036 |  0.036 |   0.036 | 0.036 |  0.036 |  0.036 |  0.036 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5564 |   0 |    1 |  5563 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.197 |
|  5564 |   0 |    1 |  5563 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.149 |
|  5564 |   0 |    1 |  5563 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.099 |
|  5564 |   0 |    1 |  5563 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
