+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+---------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+---------------+------------+
|   380 |   0 |  380 |     0 |   0 |   0 | GET    | /                  | 0.048 |  1.920 | 415.056 | 1.092 |  1.460 |  1.572 |  1.772 |  0.311 |    2664.000 |    6047.000 |   1533908.000 |   4036.600 |
|    12 |   0 |    2 |     0 |  10 |   0 | GET    | /posts             | 6.048 | 10.004 | 112.460 | 9.372 | 10.004 | 10.004 | 10.004 |  1.409 | 2055672.000 | 2055723.000 |   4111395.000 | 342616.250 |
|  4785 |   0 | 4785 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.152 |  74.332 | 0.016 |  0.032 |  0.040 |  0.060 |  0.012 |     715.000 |    1977.000 |   6303850.000 |   1317.419 |
|   503 |   0 |  503 |     0 |   0 |   0 | GET    | /@\w+              | 0.004 |  0.368 |  30.960 | 0.062 |  0.104 |  0.128 |  0.172 |  0.038 |    1343.000 |    5191.000 |   1637988.000 |   3256.437 |
|   273 |   0 |    0 |   273 |   0 |   0 | POST   | /login             | 0.008 |  0.308 |  24.204 | 0.089 |  0.192 |  0.208 |  0.264 |  0.069 |       0.000 |       0.000 |         0.000 |      0.000 |
|    26 |   0 |    0 |    26 |   0 |   0 | POST   | /register          | 0.020 |  0.244 |   3.236 | 0.124 |  0.204 |  0.224 |  0.244 |  0.057 |       0.000 |       0.000 |         0.000 |      0.000 |
| 19551 |   0 | 7099 | 12452 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.032 |   2.033 | 0.000 |  0.000 |  0.000 |  0.004 |  0.001 |   82381.000 | 1219758.000 | 900848747.000 |  46076.863 |
|    50 |   0 |    0 |    25 |  25 |   0 | POST   | /                  | 0.004 |  0.192 |   1.288 | 0.026 |  0.048 |  0.060 |  0.192 |  0.029 |       0.000 |       0.000 |         0.000 |      0.000 |
|    44 |   0 |    0 |    44 |   0 |   0 | POST   | /comment           | 0.004 |  0.052 |   0.744 | 0.017 |  0.036 |  0.040 |  0.052 |  0.011 |       0.000 |       0.000 |         0.000 |      0.000 |
|   102 |   0 |  102 |     0 |   0 |   0 | GET    | /login             | 0.000 |  0.080 |   0.708 | 0.007 |  0.012 |  0.024 |  0.060 |  0.011 |     615.000 |     615.000 |     62730.000 |    615.000 |
|    51 |   0 |    0 |    51 |   0 |   0 | GET    | /logout            | 0.008 |  0.064 |   0.320 | 0.006 |  0.012 |  0.020 |  0.064 |  0.010 |      24.000 |      24.000 |      1224.000 |     24.000 |
|    26 |   0 |    0 |     0 |  26 |   0 | GET    | /admin/banned      | 0.004 |  0.056 |   0.220 | 0.008 |  0.020 |  0.028 |  0.056 |  0.011 |       0.000 |       0.000 |         0.000 |      0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.028 |  0.028 |   0.028 | 0.028 |  0.028 |  0.028 |  0.028 |  0.000 |       0.000 |       0.000 |         0.000 |      0.000 |
|  5409 |   0 |    1 |  5408 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |    1097.000 |      1097.000 |      0.203 |
|  5409 |   0 |    1 |  5408 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |     830.000 |       830.000 |      0.153 |
|  5409 |   0 |    1 |  5408 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |     553.000 |       553.000 |      0.102 |
|  5409 |   0 |    1 |  5408 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |      43.000 |        43.000 |      0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+---------------+------------+
