+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+----------------+------------+
|   369 |   0 |  369 |     0 |   0 |   0 | GET    | /                  | 0.048 |  1.980 | 406.980 | 1.103 |  1.448 |  1.560 |  1.788 |  0.291 |    2761.000 |    6046.000 |    1514477.000 |   4104.274 |
|    12 |   0 |    2 |     0 |  10 |   0 | GET    | /posts             | 5.832 | 10.004 | 111.964 | 9.330 | 10.000 | 10.004 | 10.004 |  1.500 | 2054809.000 | 2054819.000 |    4109628.000 | 342469.000 |
|  4833 |   0 | 4833 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.096 |  74.288 | 0.015 |  0.028 |  0.036 |  0.060 |  0.012 |     705.000 |    1977.000 |    6333804.000 |   1310.533 |
|   533 |   0 |  533 |     0 |   0 |   0 | GET    | /@\w+              | 0.004 |  0.464 |  32.416 | 0.061 |  0.108 |  0.132 |  0.208 |  0.043 |    1480.000 |    5530.000 |    1681724.000 |   3155.205 |
|   273 |   0 |    0 |   273 |   0 |   0 | POST   | /login             | 0.008 |  0.256 |  23.192 | 0.085 |  0.176 |  0.204 |  0.236 |  0.064 |       0.000 |       0.000 |          0.000 |      0.000 |
|    25 |   0 |    0 |    25 |   0 |   0 | POST   | /register          | 0.012 |  0.236 |   2.552 | 0.102 |  0.196 |  0.220 |  0.236 |  0.061 |       0.000 |       0.000 |          0.000 |      0.000 |
| 21830 |   0 | 8478 | 13352 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.032 |   1.079 | 0.000 |  0.000 |  0.000 |  0.001 |  0.001 |  121800.000 | 1219758.000 | 1038525959.000 |  47573.338 |
|    45 |   0 |    0 |    45 |   0 |   0 | POST   | /comment           | 0.004 |  0.056 |   0.724 | 0.016 |  0.036 |  0.040 |  0.056 |  0.011 |       0.000 |       0.000 |          0.000 |      0.000 |
|    50 |   0 |    0 |    25 |  25 |   0 | POST   | /                  | 0.004 |  0.044 |   0.704 | 0.014 |  0.028 |  0.040 |  0.044 |  0.011 |       0.000 |       0.000 |          0.000 |      0.000 |
|   102 |   0 |  102 |     0 |   0 |   0 | GET    | /login             | 0.000 |  0.036 |   0.492 | 0.005 |  0.012 |  0.016 |  0.032 |  0.007 |     615.000 |     615.000 |      62730.000 |    615.000 |
|    25 |   0 |    0 |     0 |  25 |   0 | GET    | /admin/banned      | 0.004 |  0.032 |   0.204 | 0.008 |  0.020 |  0.024 |  0.032 |  0.008 |       0.000 |       0.000 |          0.000 |      0.000 |
|    51 |   0 |    0 |    51 |   0 |   0 | GET    | /logout            | 0.000 |  0.032 |   0.192 | 0.004 |  0.008 |  0.020 |  0.032 |  0.006 |      24.000 |      24.000 |       1224.000 |     24.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.032 |  0.032 |   0.032 | 0.032 |  0.032 |  0.032 |  0.032 |  0.000 |       0.000 |       0.000 |          0.000 |      0.000 |
|  5475 |   0 |    1 |  5474 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |    1097.000 |       1097.000 |      0.200 |
|  5475 |   0 |    1 |  5474 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |     830.000 |        830.000 |      0.152 |
|  5475 |   0 |    1 |  5474 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |     553.000 |        553.000 |      0.101 |
|  5475 |   0 |    1 |  5474 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |       0.000 |      43.000 |         43.000 |      0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-------------+-------------+----------------+------------+
