+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  2960 |   0 | 2960 |     0 |   0 |   0 | GET    | /                  |  0.004 |  0.396 | 202.028 |  0.068 |  0.116 |  0.144 |  0.196 |  0.041 |  2540.000 |    6051.000 |   8885145.000 |  3001.738 |
|  1432 |   0 |    0 |  1432 |   0 |   0 | POST   | /login             |  0.004 |  0.324 | 133.544 |  0.093 |  0.160 |  0.184 |  0.216 |  0.057 |     0.000 |       0.000 |         0.000 |     0.000 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.004 | 120.012 | 10.001 | 10.004 | 10.004 | 10.004 |  0.002 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3354 |   0 | 3354 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.148 |  73.268 |  0.022 |  0.040 |  0.048 |  0.080 |  0.015 |   691.000 |    1977.000 |   4350268.000 |  1297.039 |
|   471 |   0 |  471 |     0 |   0 |   0 | GET    | /@\w+              |  0.016 |  0.400 |  64.208 |  0.136 |  0.212 |  0.240 |  0.316 |  0.058 |  1563.000 |    5524.000 |   1517586.000 |  3222.051 |
|   155 |   0 |    0 |   155 |   0 |   0 | POST   | /register          |  0.016 |  0.260 |  18.224 |  0.118 |  0.180 |  0.200 |  0.240 |  0.048 |     0.000 |       0.000 |         0.000 |     0.000 |
|   568 |   0 |  568 |     0 |   0 |   0 | GET    | /login             |  0.004 |  0.084 |   5.528 |  0.010 |  0.020 |  0.028 |  0.044 |  0.010 |   615.000 |     615.000 |    349320.000 |   615.000 |
|   264 |   0 |    0 |   132 | 132 |   0 | POST   | /                  |  0.004 |  0.104 |   5.204 |  0.020 |  0.040 |  0.056 |  0.096 |  0.017 |     0.000 |       0.000 |         0.000 |     0.000 |
|   284 |   0 |    0 |   284 |   0 |   0 | GET    | /logout            |  0.004 |  0.072 |   3.204 |  0.011 |  0.024 |  0.036 |  0.060 |  0.011 |    24.000 |      24.000 |      6816.000 |    24.000 |
|   161 |   0 |    0 |   161 |   0 |   0 | POST   | /comment           |  0.004 |  0.080 |   3.044 |  0.019 |  0.036 |  0.044 |  0.064 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   155 |   0 |    0 |     0 | 155 |   0 | GET    | /admin/banned      |  0.004 |  0.104 |   1.588 |  0.010 |  0.020 |  0.024 |  0.040 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
| 50754 |   0 | 2761 | 47993 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.052 |   1.071 |  0.000 |  0.000 |  0.000 |  0.000 |  0.001 |     0.000 | 1197974.000 | 325206307.000 |  6407.501 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.016 |  0.016 |   0.016 |  0.016 |  0.016 |  0.016 |  0.016 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  5596 |   0 |    1 |  5595 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.196 |
|  5596 |   0 |    1 |  5595 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.148 |
|  5596 |   0 |    1 |  5595 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.099 |
|  5596 |   0 |    1 |  5595 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.008 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
