+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|  4751 |   0 | 4751 |     0 |   0 |   0 | GET    | /                  |  0.004 |  0.240 | 263.184 |  0.055 |  0.096 |  0.112 |  0.160 |  0.032 |  2550.000 |    6039.000 |  13501281.000 |  2841.777 |
|    12 |   0 |    0 |     0 |  12 |   0 | GET    | /posts             | 10.000 | 10.004 | 120.008 | 10.001 | 10.004 | 10.004 | 10.004 |  0.001 |     0.000 |       0.000 |         0.000 |     0.000 |
|  3585 |   0 | 3585 |     0 |   0 |   0 | GET    | /posts/[0-9]+      |  0.004 |  0.144 |  80.664 |  0.023 |  0.040 |  0.052 |  0.076 |  0.016 |   690.000 |    1892.000 |   4553283.000 |  1270.093 |
|   519 |   0 |  519 |     0 |   0 |   0 | GET    | /@\w+              |  0.020 |  0.428 |  71.548 |  0.138 |  0.216 |  0.240 |  0.300 |  0.055 |  1397.000 |    5217.000 |   1732804.000 |  3338.736 |
|  2922 |   0 |    0 |  2922 |   0 |   0 | POST   | /login             |  0.000 |  0.108 |  33.656 |  0.012 |  0.024 |  0.032 |  0.052 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1184 |   0 | 1184 |     0 |   0 |   0 | GET    | /login             |  0.004 |  0.084 |  13.196 |  0.011 |  0.024 |  0.032 |  0.048 |  0.011 |   615.000 |     615.000 |    728160.000 |   615.000 |
|   558 |   0 |    0 |   279 | 279 |   0 | POST   | /                  |  0.008 |  0.120 |  11.512 |  0.021 |  0.040 |  0.048 |  0.088 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|   359 |   0 |    0 |   359 |   0 |   0 | POST   | /register          |  0.004 |  0.164 |   6.660 |  0.019 |  0.032 |  0.044 |  0.064 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   592 |   0 |    0 |   592 |   0 |   0 | GET    | /logout            |  0.000 |  0.080 |   6.396 |  0.011 |  0.024 |  0.032 |  0.052 |  0.010 |    24.000 |      24.000 |     14208.000 |    24.000 |
|   359 |   0 |    0 |     0 | 359 |   0 | GET    | /admin/banned      |  0.000 |  0.076 |   4.676 |  0.013 |  0.028 |  0.032 |  0.068 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   229 |   0 |    0 |   229 |   0 |   0 | POST   | /comment           |  0.004 |  0.076 |   4.228 |  0.018 |  0.032 |  0.044 |  0.064 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
| 71353 |   0 | 2934 | 68419 |   0 |   0 | GET    | /image/\d+         |  0.000 |  0.048 |   0.477 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1197974.000 | 320909231.000 |  4497.488 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        |  0.032 |  0.032 |   0.032 |  0.032 |  0.032 |  0.032 |  0.032 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  6613 |   0 |    1 |  6612 |   0 |   0 | GET    | /js/timeago.min.js |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.166 |
|  6613 |   0 |    1 |  6612 |   0 |   0 | GET    | /js/main.js        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.126 |
|  6613 |   0 |    1 |  6612 |   0 |   0 | GET    | /css/style.css     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.084 |
|  6613 |   0 |    1 |  6612 |   0 |   0 | GET    | /favicon.ico       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.007 |
+-------+-----+------+-------+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
