+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   7184 |   0 | 7184 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.240 | 191.228 | 0.027 |  0.044 |  0.056 |  0.088 |  0.017 |  2565.000 |    6050.000 |  20360605.000 |  2834.160 |
|     16 |   0 |    4 |      0 |  12 |   0 | GET    | /posts             | 0.328 | 10.004 | 121.468 | 7.592 | 10.000 | 10.004 | 10.004 |  4.172 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2870 |   0 | 2870 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.252 |  87.084 | 0.030 |  0.052 |  0.064 |  0.096 |  0.019 |   688.000 |    1929.000 |   3584638.000 |  1249.003 |
|    430 |   0 |  430 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.512 |  76.524 | 0.178 |  0.272 |  0.316 |  0.404 |  0.074 |  1596.000 |    5465.000 |   1413322.000 |  3286.795 |
|   3625 |   0 |    0 |   3625 |   0 |   0 | POST   | /login             | 0.004 |  0.124 |  52.016 | 0.014 |  0.028 |  0.036 |  0.056 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1504 |   0 | 1504 |      0 |   0 |   0 | GET    | /login             | 0.008 |  0.096 |  19.128 | 0.013 |  0.028 |  0.032 |  0.048 |  0.011 |   615.000 |     615.000 |    924960.000 |   615.000 |
|    664 |   0 |    0 |    332 | 332 |   0 | POST   | /                  | 0.004 |  0.092 |  15.724 | 0.024 |  0.044 |  0.052 |  0.076 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
|    500 |   0 |    0 |    500 |   0 |   0 | POST   | /register          | 0.004 |  0.132 |  11.948 | 0.024 |  0.040 |  0.052 |  0.068 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
|    752 |   0 |    0 |    752 |   0 |   0 | GET    | /logout            | 0.004 |  0.068 |   9.488 | 0.013 |  0.024 |  0.032 |  0.056 |  0.010 |    24.000 |      24.000 |     18048.000 |    24.000 |
|    500 |   0 |    0 |      0 | 500 |   0 | GET    | /admin/banned      | 0.004 |  0.064 |   7.136 | 0.014 |  0.028 |  0.032 |  0.052 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|    205 |   0 |    0 |    205 |   0 |   0 | POST   | /comment           | 0.004 |  0.096 |   5.308 | 0.026 |  0.040 |  0.048 |  0.080 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
| 111298 |   0 | 2356 | 108942 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.036 |   0.306 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1252718.000 | 251025757.000 |  2255.438 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.036 |  0.036 |   0.036 | 0.036 |  0.036 |  0.036 |  0.036 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7873 |   0 |    1 |   7872 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.139 |
|   7873 |   0 |    1 |   7872 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.105 |
|   7873 |   0 |    1 |   7872 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.070 |
|   7873 |   0 |    1 |   7872 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.005 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
