+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6720 |   0 | 6720 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.296 | 198.413 | 0.030 |  0.052 |  0.068 |  0.112 |  0.021 |  2537.000 |    6037.000 |  19015132.000 |  2829.633 |
|     82 |   0 |   72 |      0 |  10 |   0 | GET    | /posts             | 0.224 | 10.008 | 126.402 | 1.541 | 10.000 | 10.000 | 10.008 |  3.154 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2426 |   0 | 2426 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.264 |  89.554 | 0.037 |  0.064 |  0.084 |  0.128 |  0.025 |   687.000 |    1936.000 |   3011525.000 |  1241.354 |
|    381 |   0 |  381 |      0 |   0 |   0 | GET    | /@\w+              | 0.028 |  0.688 |  75.471 | 0.198 |  0.300 |  0.356 |  0.500 |  0.089 |  1587.000 |    5740.000 |   1224581.000 |  3214.123 |
|   3324 |   0 |    0 |   3324 |   0 |   0 | POST   | /login             | 0.004 |  0.180 |  53.028 | 0.016 |  0.032 |  0.044 |  0.072 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1376 |   0 | 1376 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.128 |  19.684 | 0.014 |  0.028 |  0.040 |  0.072 |  0.014 |   615.000 |     615.000 |    846240.000 |   615.000 |
|    614 |   0 |    0 |    307 | 307 |   0 | POST   | /                  | 0.004 |  0.172 |  15.263 | 0.025 |  0.048 |  0.060 |  0.096 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|    462 |   0 |    0 |    462 |   0 |   0 | POST   | /register          | 0.004 |  0.104 |  11.844 | 0.026 |  0.048 |  0.056 |  0.084 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|    688 |   0 |    0 |    688 |   0 |   0 | GET    | /logout            | 0.004 |  0.080 |   9.551 | 0.014 |  0.028 |  0.040 |  0.068 |  0.013 |    24.000 |      24.000 |     16512.000 |    24.000 |
|    462 |   0 |    0 |      0 | 462 |   0 | GET    | /admin/banned      | 0.004 |  0.084 |   7.348 | 0.016 |  0.032 |  0.048 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|    184 |   0 |    0 |    184 |   0 |   0 | POST   | /comment           | 0.004 |  0.112 |   5.148 | 0.028 |  0.048 |  0.068 |  0.092 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.044 |  0.044 |   0.044 | 0.044 |  0.044 |  0.044 |  0.044 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
| 104137 |   0 | 2080 | 102057 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.018 |   0.041 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1251657.000 | 230225009.000 |  2210.790 |
|   7130 |   0 |    1 |   7129 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.154 |
|   7130 |   0 |    1 |   7129 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.116 |
|   7130 |   0 |    1 |   7129 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.078 |
|   7130 |   0 |    1 |   7129 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
