+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6727 |   0 | 6727 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.220 | 192.740 | 0.029 |  0.052 |  0.064 |  0.108 |  0.020 |  2562.000 |    6044.000 |  19188007.000 |  2852.387 |
|     58 |   0 |   47 |      0 |  11 |   0 | GET    | /posts             | 0.244 | 10.004 | 126.847 | 2.187 | 10.000 | 10.004 | 10.004 |  3.781 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2557 |   0 | 2557 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.008 |  0.248 |  86.818 | 0.034 |  0.060 |  0.076 |  0.120 |  0.023 |   691.000 |    1986.000 |   3179494.000 |  1243.447 |
|    398 |   0 |  398 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.660 |  76.160 | 0.191 |  0.288 |  0.364 |  0.492 |  0.087 |  1396.000 |    5281.000 |   1313907.000 |  3301.274 |
|   3385 |   0 |    0 |   3385 |   0 |   0 | POST   | /login             | 0.004 |  0.288 |  53.399 | 0.016 |  0.032 |  0.040 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1410 |   0 | 1410 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.112 |  19.133 | 0.014 |  0.028 |  0.036 |  0.068 |  0.013 |   615.000 |     615.000 |    867150.000 |   615.000 |
|    610 |   0 |    0 |    305 | 305 |   0 | POST   | /                  | 0.004 |  0.184 |  15.732 | 0.026 |  0.048 |  0.064 |  0.104 |  0.021 |     0.000 |       0.000 |         0.000 |     0.000 |
|    464 |   0 |    0 |    464 |   0 |   0 | POST   | /register          | 0.004 |  0.152 |  11.914 | 0.026 |  0.044 |  0.060 |  0.088 |  0.017 |     0.000 |       0.000 |         0.000 |     0.000 |
|    705 |   0 |    0 |    705 |   0 |   0 | GET    | /logout            | 0.008 |  0.128 |   9.992 | 0.014 |  0.028 |  0.040 |  0.076 |  0.014 |    24.000 |      24.000 |     16920.000 |    24.000 |
|    464 |   0 |    0 |      0 | 464 |   0 | GET    | /admin/banned      | 0.008 |  0.128 |   7.460 | 0.016 |  0.032 |  0.044 |  0.072 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
|    196 |   0 |    0 |    196 |   0 |   0 | POST   | /comment           | 0.004 |  0.148 |   5.572 | 0.028 |  0.048 |  0.072 |  0.104 |  0.020 |     0.000 |       0.000 |         0.000 |     0.000 |
| 104277 |   0 | 2292 | 101985 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.052 |   1.036 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1265181.000 | 444904377.000 |  4266.563 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.040 |  0.040 |   0.040 | 0.040 |  0.040 |  0.040 |  0.040 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7251 |   0 |    1 |   7250 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.151 |
|   7251 |   0 |    1 |   7250 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.114 |
|   7251 |   0 |    1 |   7250 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.076 |
|   7251 |   0 |    1 |   7250 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
