+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   7004 |   0 | 7004 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.228 | 190.513 | 0.027 |  0.048 |  0.060 |  0.096 |  0.018 |  2565.000 |    6048.000 |  19768548.000 |  2822.465 |
|     24 |   0 |   12 |      0 |  12 |   0 | GET    | /posts             | 0.292 | 10.000 | 124.644 | 5.193 | 10.000 | 10.000 | 10.000 |  4.806 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2679 |   0 | 2679 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.240 |  87.829 | 0.033 |  0.056 |  0.068 |  0.108 |  0.020 |   696.000 |    1949.000 |   3347240.000 |  1249.436 |
|    423 |   0 |  423 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.600 |  75.329 | 0.178 |  0.264 |  0.300 |  0.464 |  0.079 |  1343.000 |    5533.000 |   1384217.000 |  3272.381 |
|   3539 |   0 |    0 |   3539 |   0 |   0 | POST   | /login             | 0.004 |  0.220 |  51.069 | 0.014 |  0.028 |  0.036 |  0.056 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1468 |   0 | 1468 |      0 |   0 |   0 | GET    | /login             | 0.000 |  0.108 |  19.364 | 0.013 |  0.028 |  0.032 |  0.056 |  0.012 |   615.000 |     615.000 |    902820.000 |   615.000 |
|    636 |   0 |    0 |    318 | 318 |   0 | POST   | /                  | 0.004 |  0.184 |  15.596 | 0.025 |  0.044 |  0.052 |  0.104 |  0.020 |     0.000 |       0.000 |         0.000 |     0.000 |
|    490 |   0 |    0 |    490 |   0 |   0 | POST   | /register          | 0.004 |  0.176 |  11.884 | 0.024 |  0.040 |  0.052 |  0.092 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|    734 |   0 |    0 |    734 |   0 |   0 | GET    | /logout            | 0.004 |  0.092 |   9.516 | 0.013 |  0.028 |  0.036 |  0.048 |  0.011 |    24.000 |      24.000 |     17616.000 |    24.000 |
|    490 |   0 |    0 |      0 | 490 |   0 | GET    | /admin/banned      | 0.004 |  0.084 |   7.207 | 0.015 |  0.028 |  0.040 |  0.052 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|    211 |   0 |    0 |    211 |   0 |   0 | POST   | /comment           | 0.004 |  0.108 |   5.336 | 0.025 |  0.044 |  0.052 |  0.076 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
| 108158 |   0 | 2384 | 105774 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.020 |   0.729 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1155222.000 | 452076258.000 |  4179.776 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.048 |  0.048 |   0.048 | 0.048 |  0.048 |  0.048 |  0.048 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7539 |   0 |    1 |   7538 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.146 |
|   7539 |   0 |    1 |   7538 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.110 |
|   7539 |   0 |    1 |   7538 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.073 |
|   7539 |   0 |    1 |   7538 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
