+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6786 |   0 | 6786 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.236 | 192.196 | 0.028 |  0.052 |  0.064 |  0.104 |  0.019 |  2525.000 |    6037.000 |  18836563.000 |  2775.798 |
|     52 |   0 |   40 |      0 |  12 |   0 | GET    | /posts             | 0.224 | 10.012 | 133.748 | 2.572 | 10.004 | 10.008 | 10.012 |  4.070 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2590 |   0 | 2590 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.272 |  89.493 | 0.035 |  0.060 |  0.080 |  0.136 |  0.025 |   698.000 |    1894.000 |   3223310.000 |  1244.521 |
|    402 |   0 |  402 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.564 |  72.806 | 0.181 |  0.288 |  0.336 |  0.428 |  0.082 |  1598.000 |    5589.000 |   1324415.000 |  3294.565 |
|   3393 |   0 |    0 |   3393 |   0 |   0 | POST   | /login             | 0.004 |  0.136 |  53.196 | 0.016 |  0.032 |  0.040 |  0.068 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1406 |   0 | 1406 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.100 |  18.907 | 0.013 |  0.028 |  0.040 |  0.076 |  0.014 |   615.000 |     615.000 |    864690.000 |   615.000 |
|    610 |   0 |    0 |    305 | 305 |   0 | POST   | /                  | 0.004 |  0.152 |  15.164 | 0.025 |  0.044 |  0.056 |  0.100 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|    474 |   0 |    0 |    474 |   0 |   0 | POST   | /register          | 0.004 |  0.168 |  11.760 | 0.025 |  0.044 |  0.056 |  0.112 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|    703 |   0 |    0 |    703 |   0 |   0 | GET    | /logout            | 0.004 |  0.088 |   9.436 | 0.013 |  0.028 |  0.036 |  0.064 |  0.013 |    24.000 |      24.000 |     16872.000 |    24.000 |
|    474 |   0 |    0 |      0 | 474 |   0 | GET    | /admin/banned      | 0.004 |  0.112 |   7.112 | 0.015 |  0.028 |  0.040 |  0.084 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|    200 |   0 |    0 |    200 |   0 |   0 | POST   | /comment           | 0.004 |  0.124 |   5.476 | 0.027 |  0.052 |  0.064 |  0.108 |  0.020 |     0.000 |       0.000 |         0.000 |     0.000 |
| 105035 |   0 | 2271 | 102764 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.024 |   0.682 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1155222.000 | 427164912.000 |  4066.882 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.148 |  0.148 |   0.148 | 0.148 |  0.148 |  0.148 |  0.148 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |  0.012 |  0.012 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.004 |  0.004 |   0.004 | 0.004 |  0.004 |  0.004 |  0.004 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7315 |   0 |    1 |   7314 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.113 |
|   7315 |   0 |    1 |   7314 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.076 |
|   7315 |   0 |    1 |   7314 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.150 |
|   7315 |   0 |    1 |   7314 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
