+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6999 |   0 | 6999 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.188 | 191.769 | 0.027 |  0.048 |  0.060 |  0.092 |  0.018 |  2554.000 |    6043.000 |  19618823.000 |  2803.089 |
|     29 |   0 |   17 |      0 |  12 |   0 | GET    | /posts             | 0.252 | 10.004 | 126.714 | 4.369 | 10.000 | 10.003 | 10.004 |  4.731 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2715 |   0 | 2715 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.240 |  88.566 | 0.033 |  0.056 |  0.068 |  0.108 |  0.020 |   702.000 |    1949.000 |   3383545.000 |  1246.241 |
|    417 |   0 |  417 |      0 |   0 |   0 | GET    | /@\w+              | 0.020 |  0.588 |  73.900 | 0.177 |  0.272 |  0.304 |  0.424 |  0.080 |  1808.000 |    5530.000 |   1354262.000 |  3247.631 |
|   3551 |   0 |    0 |   3551 |   0 |   0 | POST   | /login             | 0.004 |  0.152 |  51.019 | 0.014 |  0.028 |  0.036 |  0.060 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1476 |   0 | 1476 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.156 |  19.275 | 0.013 |  0.028 |  0.036 |  0.064 |  0.013 |   615.000 |     615.000 |    907740.000 |   615.000 |
|    640 |   0 |    0 |    320 | 320 |   0 | POST   | /                  | 0.004 |  0.148 |  15.804 | 0.025 |  0.044 |  0.060 |  0.104 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|    487 |   0 |    0 |    487 |   0 |   0 | POST   | /register          | 0.004 |  0.132 |  12.063 | 0.025 |  0.044 |  0.052 |  0.100 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|    738 |   0 |    0 |    738 |   0 |   0 | GET    | /logout            | 0.004 |  0.160 |   9.356 | 0.013 |  0.028 |  0.032 |  0.056 |  0.012 |    24.000 |      24.000 |     17712.000 |    24.000 |
|    487 |   0 |    0 |      0 | 487 |   0 | GET    | /admin/banned      | 0.004 |  0.212 |   7.232 | 0.015 |  0.028 |  0.036 |  0.060 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|    210 |   0 |    0 |    210 |   0 |   0 | POST   | /comment           | 0.004 |  0.140 |   5.467 | 0.026 |  0.044 |  0.056 |  0.108 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
| 108190 |   0 | 2415 | 105775 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.064 |   1.004 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1219758.000 | 464789681.000 |  4296.050 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.196 |  0.196 |   0.196 | 0.196 |  0.196 |  0.196 |  0.196 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.036 |  0.036 |   0.036 | 0.036 |  0.036 |  0.036 |  0.036 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7567 |   0 |    1 |   7566 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.110 |
|   7567 |   0 |    1 |   7566 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.073 |
|   7567 |   0 |    1 |   7566 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.145 |
|   7567 |   0 |    1 |   7566 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
