+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6915 |   0 | 6915 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.340 | 188.394 | 0.027 |  0.048 |  0.060 |  0.088 |  0.018 |  2565.000 |    6043.000 |  19531729.000 |  2824.545 |
|     29 |   0 |   17 |      0 |  12 |   0 | GET    | /posts             | 0.244 | 10.000 | 125.842 | 4.339 | 10.000 | 10.000 | 10.000 |  4.756 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2702 |   0 | 2702 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.204 |  86.288 | 0.032 |  0.056 |  0.068 |  0.100 |  0.019 |   691.000 |    1969.000 |   3379408.000 |  1250.706 |
|    432 |   0 |  432 |      0 |   0 |   0 | GET    | /@\w+              | 0.044 |  0.568 |  75.315 | 0.174 |  0.272 |  0.316 |  0.412 |  0.076 |  1533.000 |    5239.000 |   1395091.000 |  3229.377 |
|   3468 |   0 |    0 |   3468 |   0 |   0 | POST   | /login             | 0.004 |  0.144 |  52.332 | 0.015 |  0.028 |  0.040 |  0.060 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1432 |   0 | 1432 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.104 |  18.980 | 0.013 |  0.028 |  0.036 |  0.060 |  0.012 |   615.000 |     615.000 |    880680.000 |   615.000 |
|    626 |   0 |    0 |    313 | 313 |   0 | POST   | /                  | 0.004 |  0.128 |  15.312 | 0.024 |  0.044 |  0.060 |  0.096 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|    484 |   0 |    0 |    484 |   0 |   0 | POST   | /register          | 0.004 |  0.112 |  11.680 | 0.024 |  0.040 |  0.052 |  0.088 |  0.015 |     0.000 |       0.000 |         0.000 |     0.000 |
|    716 |   0 |    0 |    716 |   0 |   0 | GET    | /logout            | 0.004 |  0.088 |   9.347 | 0.013 |  0.028 |  0.036 |  0.056 |  0.011 |    24.000 |      24.000 |     17184.000 |    24.000 |
|    484 |   0 |    0 |      0 | 484 |   0 | GET    | /admin/banned      | 0.004 |  0.072 |   6.864 | 0.014 |  0.028 |  0.036 |  0.056 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|    210 |   0 |    0 |    210 |   0 |   0 | POST   | /comment           | 0.004 |  0.124 |   5.400 | 0.026 |  0.040 |  0.048 |  0.096 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
| 106891 |   0 | 2357 | 104534 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.036 |   1.167 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1251657.000 | 487745978.000 |  4563.022 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.212 |  0.212 |   0.212 | 0.212 |  0.212 |  0.212 |  0.212 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.044 |  0.044 |   0.044 | 0.044 |  0.044 |  0.044 |  0.044 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7512 |   0 |    1 |   7511 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.110 |
|   7512 |   0 |    1 |   7511 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.074 |
|   7512 |   0 |    1 |   7511 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.146 |
|   7512 |   0 |    1 |   7511 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
