+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
|  6290 |   0 | 6290 |     0 |   0 |   0 | GET    | /                  | 0.004 |  0.288 | 196.591 | 0.031 | 0.060 | 0.076 | 0.116 |  0.023 |  2582.000 |    6042.000 |  17870581.000 |  2841.110 |
|   131 |   0 |  123 |     0 |   8 |   0 | GET    | /posts             | 0.204 | 10.000 | 118.762 | 0.907 | 0.448 | 9.999 | 9.999 |  2.320 |     0.000 |       0.000 |         0.000 |     0.000 |
|  2704 |   0 | 2704 |     0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.200 |  97.542 | 0.036 | 0.068 | 0.092 | 0.136 |  0.027 |   701.000 |    1924.000 |   3403937.000 |  1258.852 |
|   439 |   0 |  439 |     0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.480 |  61.823 | 0.141 | 0.228 | 0.284 | 0.352 |  0.065 |  1395.000 |    5699.000 |   1429265.000 |  3255.729 |
|  3094 |   0 |    0 |  3094 |   0 |   0 | POST   | /login             | 0.004 |  0.116 |  55.010 | 0.018 | 0.040 | 0.052 | 0.080 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|  1264 |   0 | 1264 |     0 |   0 |   0 | GET    | /login             | 0.004 |  0.148 |  19.272 | 0.015 | 0.036 | 0.044 | 0.072 |  0.015 |   615.000 |     615.000 |    777360.000 |   615.000 |
|   554 |   0 |    0 |   277 | 277 |   0 | POST   | /                  | 0.004 |  0.128 |  16.064 | 0.029 | 0.056 | 0.076 | 0.116 |  0.022 |     0.000 |       0.000 |         0.000 |     0.000 |
|   422 |   0 |    0 |   422 |   0 |   0 | POST   | /register          | 0.004 |  0.144 |  12.370 | 0.029 | 0.056 | 0.072 | 0.108 |  0.022 |     0.000 |       0.000 |         0.000 |     0.000 |
|   632 |   0 |    0 |   632 |   0 |   0 | GET    | /logout            | 0.004 |  0.088 |   9.696 | 0.015 | 0.036 | 0.044 | 0.068 |  0.014 |    24.000 |      24.000 |     15168.000 |    24.000 |
|   422 |   0 |    0 |     0 | 422 |   0 | GET    | /admin/banned      | 0.004 |  0.116 |   7.587 | 0.018 | 0.040 | 0.048 | 0.076 |  0.017 |     0.000 |       0.000 |         0.000 |     0.000 |
|   222 |   0 |    0 |   222 |   0 |   0 | POST   | /comment           | 0.004 |  0.116 |   6.300 | 0.028 | 0.052 | 0.072 | 0.096 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
| 98087 |   0 | 2284 | 95803 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.060 |   0.758 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 1265181.000 | 434730728.000 |  4432.093 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /initialize        | 0.044 |  0.044 |   0.044 | 0.044 | 0.044 | 0.044 | 0.044 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /pprof/stop        | 0.020 |  0.020 |   0.020 | 0.020 | 0.020 | 0.020 | 0.020 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|  7092 |   0 |    1 |  7091 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.078 |
|  7092 |   0 |    1 |  7091 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.117 |
|  7092 |   0 |    1 |  7091 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.155 |
|  7092 |   0 |    1 |  7091 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /pprof/start       | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+--------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
