+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   7125 |   0 | 7125 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.212 | 189.042 | 0.027 |  0.044 |  0.056 |  0.084 |  0.016 |  2502.000 |    6046.000 |  19952582.000 |  2800.362 |
|     21 |   0 |    9 |      0 |  12 |   0 | GET    | /posts             | 0.280 | 10.001 | 123.290 | 5.871 | 10.000 | 10.001 | 10.001 |  4.768 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2686 |   0 | 2686 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.148 |  86.502 | 0.032 |  0.056 |  0.068 |  0.096 |  0.018 |   699.000 |    2010.000 |   3351840.000 |  1247.893 |
|    413 |   0 |  413 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.600 |  74.834 | 0.181 |  0.280 |  0.304 |  0.440 |  0.080 |  1399.000 |    5049.000 |   1343210.000 |  3252.324 |
|   3607 |   0 |    0 |   3607 |   0 |   0 | POST   | /login             | 0.004 |  0.124 |  51.328 | 0.014 |  0.028 |  0.036 |  0.056 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1492 |   0 | 1492 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.112 |  18.984 | 0.013 |  0.024 |  0.036 |  0.056 |  0.011 |   615.000 |     615.000 |    917580.000 |   615.000 |
|    658 |   0 |    0 |    329 | 329 |   0 | POST   | /                  | 0.004 |  0.120 |  15.064 | 0.023 |  0.044 |  0.056 |  0.080 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
|    503 |   0 |    0 |    503 |   0 |   0 | POST   | /register          | 0.004 |  0.108 |  11.208 | 0.022 |  0.040 |  0.048 |  0.072 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|    746 |   0 |    0 |    746 |   0 |   0 | GET    | /logout            | 0.004 |  0.116 |   9.389 | 0.013 |  0.024 |  0.028 |  0.060 |  0.011 |    24.000 |      24.000 |     17904.000 |    24.000 |
|    503 |   0 |    0 |      0 | 503 |   0 | GET    | /admin/banned      | 0.004 |  0.080 |   7.249 | 0.014 |  0.028 |  0.036 |  0.052 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|    208 |   0 |    0 |    208 |   0 |   0 | POST   | /comment           | 0.004 |  0.088 |   5.216 | 0.025 |  0.044 |  0.060 |  0.080 |  0.016 |     0.000 |       0.000 |         0.000 |     0.000 |
| 109687 |   0 | 2308 | 107379 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.032 |   0.796 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1265181.000 | 450990819.000 |  4111.616 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.180 |  0.180 |   0.180 | 0.180 |  0.180 |  0.180 |  0.180 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |  0.016 |  0.016 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.004 |  0.004 |   0.004 | 0.004 |  0.004 |  0.004 |  0.004 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7607 |   0 |    1 |   7606 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.109 |
|   7607 |   0 |    1 |   7606 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.073 |
|   7607 |   0 |    1 |   7606 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.144 |
|   7607 |   0 |    1 |   7606 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
