+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6887 |   0 | 6887 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.240 | 189.717 | 0.028 |  0.048 |  0.060 |  0.096 |  0.018 |  2515.000 |    6041.000 |  19390833.000 |  2815.570 |
|     32 |   0 |   20 |      0 |  12 |   0 | GET    | /posts             | 0.232 | 10.001 | 127.824 | 3.994 | 10.000 | 10.001 | 10.001 |  4.652 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2690 |   0 | 2690 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.316 |  87.986 | 0.033 |  0.056 |  0.068 |  0.112 |  0.022 |   692.000 |    1977.000 |   3376044.000 |  1255.035 |
|    419 |   0 |  419 |      0 |   0 |   0 | GET    | /@\w+              | 0.024 |  0.692 |  75.898 | 0.181 |  0.268 |  0.324 |  0.492 |  0.085 |  1568.000 |    5530.000 |   1354845.000 |  3233.520 |
|   3482 |   0 |    0 |   3482 |   0 |   0 | POST   | /login             | 0.004 |  0.140 |  51.569 | 0.015 |  0.028 |  0.036 |  0.068 |  0.013 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1448 |   0 | 1448 |      0 |   0 |   0 | GET    | /login             | 0.004 |  0.136 |  19.225 | 0.013 |  0.028 |  0.036 |  0.056 |  0.012 |   615.000 |     615.000 |    890520.000 |   615.000 |
|    632 |   0 |    0 |    316 | 316 |   0 | POST   | /                  | 0.004 |  0.256 |  16.033 | 0.025 |  0.044 |  0.060 |  0.108 |  0.022 |     0.000 |       0.000 |         0.000 |     0.000 |
|    477 |   0 |    0 |    477 |   0 |   0 | POST   | /register          | 0.004 |  0.176 |  12.152 | 0.025 |  0.044 |  0.052 |  0.084 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|    724 |   0 |    0 |    724 |   0 |   0 | GET    | /logout            | 0.004 |  0.140 |   8.973 | 0.012 |  0.024 |  0.032 |  0.048 |  0.011 |    24.000 |      24.000 |     17376.000 |    24.000 |
|    477 |   0 |    0 |      0 | 477 |   0 | GET    | /admin/banned      | 0.004 |  0.084 |   7.321 | 0.015 |  0.028 |  0.036 |  0.056 |  0.012 |     0.000 |       0.000 |         0.000 |     0.000 |
|    201 |   0 |    0 |    201 |   0 |   0 | POST   | /comment           | 0.004 |  0.144 |   5.382 | 0.027 |  0.044 |  0.056 |  0.096 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
| 106662 |   0 | 2353 | 104309 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.048 |   0.843 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1265181.000 | 461552642.000 |  4327.245 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.108 |  0.108 |   0.108 | 0.108 |  0.108 |  0.108 |  0.108 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.048 |  0.048 |   0.048 | 0.048 |  0.048 |  0.048 |  0.048 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7491 |   0 |    1 |   7490 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.111 |
|   7491 |   0 |    1 |   7490 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.074 |
|   7491 |   0 |    1 |   7490 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.146 |
|   7491 |   0 |    1 |   7490 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
