+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   6769 |   0 | 6769 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.252 | 191.046 | 0.028 |  0.048 |  0.064 |  0.100 |  0.020 |  2553.000 |    6047.000 |  19061252.000 |  2815.963 |
|     54 |   0 |   43 |      0 |  11 |   0 | GET    | /posts             | 0.244 | 10.001 | 125.403 | 2.322 | 10.000 | 10.000 | 10.001 |  3.884 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2652 |   0 | 2652 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.216 |  87.241 | 0.033 |  0.060 |  0.076 |  0.124 |  0.023 |   696.000 |    1915.000 |   3314547.000 |  1249.829 |
|    424 |   0 |  424 |      0 |   0 |   0 | GET    | /@\w+              | 0.020 |  0.716 |  74.461 | 0.176 |  0.260 |  0.304 |  0.452 |  0.082 |  1480.000 |    5527.000 |   1351281.000 |  3186.983 |
|   3418 |   0 |    0 |   3418 |   0 |   0 | POST   | /login             | 0.008 |  0.136 |  52.048 | 0.015 |  0.032 |  0.044 |  0.072 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1416 |   0 | 1416 |      0 |   0 |   0 | GET    | /login             | 0.000 |  0.144 |  18.760 | 0.013 |  0.028 |  0.036 |  0.064 |  0.013 |   615.000 |     615.000 |    870840.000 |   615.000 |
|    622 |   0 |    0 |    311 | 311 |   0 | POST   | /                  | 0.004 |  0.204 |  15.509 | 0.025 |  0.048 |  0.064 |  0.096 |  0.020 |     0.000 |       0.000 |         0.000 |     0.000 |
|    470 |   0 |    0 |    470 |   0 |   0 | POST   | /register          | 0.004 |  0.164 |  12.072 | 0.026 |  0.044 |  0.060 |  0.108 |  0.019 |     0.000 |       0.000 |         0.000 |     0.000 |
|    708 |   0 |    0 |    708 |   0 |   0 | GET    | /logout            | 0.004 |  0.104 |   9.384 | 0.013 |  0.028 |  0.040 |  0.064 |  0.013 |    24.000 |      24.000 |     16992.000 |    24.000 |
|    470 |   0 |    0 |      0 | 470 |   0 | GET    | /admin/banned      | 0.012 |  0.164 |   7.188 | 0.015 |  0.028 |  0.036 |  0.076 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|    202 |   0 |    0 |    202 |   0 |   0 | POST   | /comment           | 0.004 |  0.220 |   5.592 | 0.028 |  0.048 |  0.068 |  0.124 |  0.026 |     0.000 |       0.000 |         0.000 |     0.000 |
| 104689 |   0 | 2316 | 102373 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.112 |   0.720 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1251657.000 | 440804738.000 |  4210.612 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.156 |  0.156 |   0.156 | 0.156 |  0.156 |  0.156 |  0.156 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.040 |  0.040 |   0.040 | 0.040 |  0.040 |  0.040 |  0.040 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   7366 |   0 |    1 |   7365 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.113 |
|   7366 |   0 |    1 |   7365 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.075 |
|   7366 |   0 |    1 |   7365 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.149 |
|   7366 |   0 |    1 |   7365 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.006 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
