+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
|   7798 |   0 | 7798 |      0 |   0 |   0 | GET    | /                  | 0.004 |  0.216 | 182.266 | 0.023 |  0.044 |  0.052 |  0.088 |  0.017 |  2490.000 |    5986.000 |  21507495.000 |  2758.078 |
|     40 |   0 |   28 |      0 |  12 |   0 | GET    | /posts             | 0.312 | 10.004 | 131.605 | 3.290 | 10.001 | 10.001 | 10.004 |  4.394 |     0.000 |       0.000 |         0.000 |     0.000 |
|   2918 |   0 | 2918 |      0 |   0 |   0 | GET    | /posts/[0-9]+      | 0.004 |  0.260 |  83.560 | 0.029 |  0.048 |  0.064 |  0.104 |  0.021 |   691.000 |    1954.000 |   3594155.000 |  1231.719 |
|    435 |   0 |  435 |      0 |   0 |   0 | GET    | /@\w+              | 0.016 |  0.584 |  79.895 | 0.184 |  0.276 |  0.312 |  0.420 |  0.075 |  1328.000 |    4967.000 |   1402942.000 |  3225.154 |
|   3992 |   0 |    0 |   3992 |   0 |   0 | POST   | /login             | 0.004 |  0.208 |  49.430 | 0.012 |  0.024 |  0.032 |  0.060 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|   1680 |   0 | 1680 |      0 |   0 |   0 | GET    | /login             | 0.000 |  0.172 |  18.080 | 0.011 |  0.024 |  0.032 |  0.056 |  0.011 |   615.000 |     615.000 |   1033200.000 |   615.000 |
|    708 |   0 |    0 |    354 | 354 |   0 | POST   | /                  | 0.008 |  0.168 |  15.937 | 0.023 |  0.044 |  0.056 |  0.096 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
|    556 |   0 |    0 |    556 |   0 |   0 | POST   | /register          | 0.004 |  0.132 |  11.820 | 0.021 |  0.036 |  0.048 |  0.080 |  0.014 |     0.000 |       0.000 |         0.000 |     0.000 |
|    840 |   0 |    0 |    840 |   0 |   0 | GET    | /logout            | 0.004 |  0.072 |   8.865 | 0.011 |  0.024 |  0.028 |  0.052 |  0.010 |    24.000 |      24.000 |     20160.000 |    24.000 |
|    556 |   0 |    0 |      0 | 556 |   0 | GET    | /admin/banned      | 0.004 |  0.084 |   7.132 | 0.013 |  0.024 |  0.036 |  0.052 |  0.011 |     0.000 |       0.000 |         0.000 |     0.000 |
|    208 |   0 |    0 |    208 |   0 |   0 | POST   | /comment           | 0.004 |  0.164 |   4.952 | 0.024 |  0.040 |  0.056 |  0.088 |  0.018 |     0.000 |       0.000 |         0.000 |     0.000 |
| 120466 |   0 | 2542 | 117924 |   0 |   0 | GET    | /image/\d+         | 0.000 |  0.020 |   0.784 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 | 1197974.000 | 482057081.000 |  4001.603 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/stop        | 0.204 |  0.204 |   0.204 | 0.204 |  0.204 |  0.204 |  0.204 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /initialize        | 0.048 |  0.048 |   0.048 | 0.048 |  0.048 |  0.048 |  0.048 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|      1 |   0 |    1 |      0 |   0 |   0 | GET    | /pprof/start       | 0.004 |  0.004 |   0.004 | 0.004 |  0.004 |  0.004 |  0.004 |  0.000 |     0.000 |       0.000 |         0.000 |     0.000 |
|   8353 |   0 |    1 |   8352 |   0 |   0 | GET    | /js/main.js        | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     830.000 |       830.000 |     0.099 |
|   8353 |   0 |    1 |   8352 |   0 |   0 | GET    | /css/style.css     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |     553.000 |       553.000 |     0.066 |
|   8353 |   0 |    1 |   8352 |   0 |   0 | GET    | /js/timeago.min.js | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |    1097.000 |      1097.000 |     0.131 |
|   8353 |   0 |    1 |   8352 |   0 |   0 | GET    | /favicon.ico       | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  0.000 |     0.000 |      43.000 |        43.000 |     0.005 |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+--------+---------+-------+--------+--------+--------+--------+-----------+-------------+---------------+-----------+
